Image,Object ID,Name,Class,Parent,ROI,x,y,Hematoxylin_Mean,Hematoxylin_Stdev,Eosin_Mean,Eosin_Stdev,ROI: 1.00 px per pixel: Saturation: Mean,ROI: 1.00 px per pixel: Saturation: Std.dev.,Area,Max diameter px,minDiameter,Perimeter,slide
P18163_1002_HE.png,c048eb5b-4601-428c-8695-b97d1af03db8,ZoneA,ZoneA,Image,Geometry,2194.3,2001.6,0.6035,0.186,0.41,0.0706,NA,NA,6882.3,142.2886,121.6224,722.23,Slide2
P18163_1002_HE.png,81294694-a663-465e-b21f-129c079ba4d9,ZoneA,ZoneA,Image,Geometry,2283.6,2164.3,0.6244,0.1869,0.4354,0.0726,NA,NA,6049.5,125.4831,93,564.6,Slide2
P18163_1002_HE.png,094f854d-b332-4dfc-8673-fb38bbda37df,Duct,Duct,Image,Polygon,1690.1,2024.9,0.2906,0.1834,0.2988,0.0877,NA,NA,95,13.6015,10.6066,44,Slide2
P18163_1002_HE.png,7174884c-dfb4-4c30-abb4-7a61cd109ce9,ZoneA,ZoneA,Image,Geometry,2231.7,1880.3,0.6808,0.2775,0.4162,0.1238,NA,NA,5072.5,126.8869,104.7085,889.69,Slide2
P18163_1002_HE.png,387948c6-39e5-499b-82d9-286a5b94bed4,ZoneA,ZoneA,Image,Geometry,2201.8,2265.6,0.6645,0.1937,0.4842,0.088,NA,NA,6889.7,159.0503,101.2826,765.63,Slide2
P18163_1002_HE.png,3336268a-8810-41eb-9522-244b69d401dd,ZoneA,ZoneA,Image,Geometry,2148.7,2158.9,0.7263,0.2465,0.4862,0.0948,NA,NA,10327.2,195.2742,124.2535,923.85,Slide2
P18163_1002_HE.png,478c975a-7ac5-4cbc-a053-ad6b2091767f,ZoneA,ZoneA,Image,Geometry,1769.6,1753.8,0.7984,0.2279,0.4697,0.0885,NA,NA,11191.1,180.8535,86,623.61,Slide2
P18163_1002_HE.png,465de8af-bd41-41b0-815f-26fbfca3e628,ZoneA,ZoneA,Image,Polygon,1670.6,1992,NA,NA,NA,NA,NA,NA,8670.5,NA,NA,337.71,Slide2
P18163_1002_HE.png,a07c2d6e-bf87-458a-8989-de6daebb5fbd,ZoneA,ZoneA,Image,Geometry,2133.5,1895.2,0.6698,0.2011,0.4183,0.0688,NA,NA,5180.3,111.018,90.8124,517.75,Slide2
P18163_1002_HE.png,b67bc652-3cb2-4b48-b93c-1a04e469e041,ZoneA,ZoneA,Image,Geometry,2330.6,2267.6,0.7325,0.1936,0.4702,0.0774,NA,NA,4735.5,135.5175,63.6653,487.22,Slide2
P18163_1004.png,a4943e3b-b20c-41af-9933-e5d40758b85f,ZoneA,ZoneA,Image,Geometry,1804,2359.7,0.5465,0.1482,0.6437,0.0903,NA,NA,15661,NA,NA,1070.7,Slide4
P18163_1004.png,3784f78d-aaea-418e-aad4-5b033f802912,ZoneA,ZoneA,Image,Geometry,1727.8,3148.6,0.6701,0.189,0.51,0.0742,NA,NA,7986.9,NA,NA,778.59,Slide4
P18163_1004.png,e5e33853-5f1b-4f59-8ff9-fcb0719d74bc,ZoneA,ZoneA,Image,Geometry,3468.9,3001.6,0.551,0.1737,0.5437,0.0865,NA,NA,27527.6,NA,NA,1655.8,Slide4
P18163_1004.png,d7e0868f-ffd8-4b77-8279-cc17caccab57,ZoneA,ZoneA,Image,Geometry,3296.2,2830.1,0.5901,0.1644,0.5377,0.1018,NA,NA,16215.8,NA,NA,1251.9,Slide4
P18163_1004.png,70846427-d4d1-42c6-977d-d3bfe41c9488,ZoneA,ZoneA,Image,Geometry,1599.7,2642.8,0.6315,0.1648,0.5489,0.1095,NA,NA,11132.9,NA,NA,932.64,Slide4
P18163_1004.png,4a79204a-3d95-44ae-915f-4ceb2c83a7f1,ZoneA,ZoneA,Image,Geometry,3201.9,2904.9,0.5678,0.1854,0.5325,0.1144,NA,NA,9108.7,NA,NA,837.06,Slide4
P18163_1004.png,6b9e35b2-4104-4413-aa2a-0ee54b45cadd,ZoneA,ZoneA,Image,Geometry,1412.4,2560,0.5287,0.1526,0.5001,0.1102,NA,NA,17151.3,NA,NA,1432.6,Slide4
P18163_1004.png,e0dbb88e-8550-49e2-bdc1-e94738d55b03,ZoneA,ZoneA,Image,Geometry,3554.7,2830.4,0.5578,0.1695,0.5754,0.1218,NA,NA,20819,NA,NA,1411.7,Slide4
P18163_1004.png,c4e256ad-d0b9-403a-9465-949e9c438f43,ZoneA,ZoneA,Image,Polygon,1430.6,3219.1,0.878,0.2084,0.5934,0.1319,NA,NA,6322.4,NA,NA,440.38,Slide4
P18163_1004.png,8a215655-6083-4baf-b0c2-2403468b9088,ZoneA,ZoneA,Image,Polygon,3056.5,3432.2,0.5777,0.2047,0.5087,0.1503,NA,NA,3351.5,NA,NA,463.86,Slide4
P18163_1004.png,dec7bd1f-e220-42f2-9586-0678756c1c81,ZoneA,ZoneA,Image,Polygon,2977,3263.6,0.5219,0.2425,0.4426,0.152,NA,NA,2445,NA,NA,257.61,Slide4
P18163_1004.png,3adf0932-c99e-4104-9355-adc9cdd456ff,ZoneA,ZoneA,Image,Geometry,1568.3,2436.9,0.6271,0.1656,0.5262,0.0977,NA,NA,10709.3,NA,NA,766.48,Slide4
P18163_1004.png,218007bb-175b-448d-8ab0-04cf787804b1,ZoneA,ZoneA,Image,Geometry,1633.9,2316.7,0.5987,0.1615,0.5876,0.1125,NA,NA,10864,NA,NA,778.69,Slide4
P18163_1004.png,00d8c9df-1e7f-4386-85be-4b02e9358abe,ZoneA,ZoneA,Image,Polygon,2925.2,3208.9,0.4378,0.3543,0.3781,0.1472,NA,NA,1890.4,NA,NA,207.31,Slide4
P18163_1004.png,7372f7d0-15b7-4aad-8021-556ffe8d045d,Region*,Region*,Image,Rectangle,2359.5,2864,NA,NA,NA,NA,NA,NA,3391668,2984.3232,1252,7922,Slide4
P18163_1004.png,300bc4f9-4601-4a47-bebe-df3e5e8c019d,ZoneB,ZoneB,Image,Geometry,1262.4,2957.8,0.6083,0.1329,0.3143,0.0758,NA,NA,20379.5,NA,NA,1705.2,Slide4
P18163_1004.png,ebcaac3b-841e-44cd-9e20-f6e4e0623832,ZoneC,ZoneC,Image,Geometry,3200.9,3171,1.1141,0.2886,0.1473,0.201,NA,NA,44439.9,NA,NA,2872,Slide4
P18163_1004.png,d613d82f-21a9-4629-a390-fda4ea3bf493,ZoneA,ZoneA,Image,Geometry,1690.8,2514.5,0.6177,0.2047,0.5599,0.1206,NA,NA,14565.4,NA,NA,1321.4,Slide4
P18163_1004.png,4c767395-bc68-4311-aa7a-ec84bcaca149,ZoneA,ZoneA,Image,Polygon,1609.9,3278.6,0.8512,0.2599,0.6032,0.1139,NA,NA,5818.5,NA,NA,351.15,Slide4
P18163_1004.png,8d0f9bd1-9f0c-4e78-bf16-77a7401485f5,ZoneA,ZoneA,Image,Geometry,1158.1,2645.9,0.5763,0.1688,0.4786,0.1062,NA,NA,18680.1,NA,NA,1416,Slide4
P18163_1004.png,d1c2c6c8-d398-44f4-b5a8-e9a03ffc4410,ZoneC,ZoneC,Image,Polygon,1628.9,2867.3,1.1345,0.3868,0.0591,0.1037,NA,NA,21342.1,NA,NA,1929.3,Slide4
P18163_1004.png,04467df8-71e8-4160-a19e-d58ac114dcb3,ZoneA,ZoneA,Image,Geometry,3336.9,2645.9,0.7304,0.2682,0.6164,0.1225,NA,NA,7460,NA,NA,543.59,Slide4
P18163_1004.png,999107d0-ae86-4e74-8183-4d2b000ea5d8,ZoneA,ZoneA,Image,Geometry,1685.5,3081.1,0.6917,0.2307,0.4743,0.0938,NA,NA,9853.8,NA,NA,1137.6,Slide4
P18163_1004.png,769f3f81-d100-4404-974e-f4a5af624523,ZoneA,ZoneA,Image,Geometry,3107.9,3382.1,0.6795,0.2234,0.5724,0.1242,NA,NA,3500.8,NA,NA,449.69,Slide4
P18163_1005_HE.png,2d71a63b-f08f-4ece-9bf2-60b3b4e66598,ZoneA,ZoneA,Image,Geometry,2143.6,3353.4,0.7298,0.267,0.2883,0.0721,NA,NA,5243.6,NA,NA,425.24,Slide5
P18163_1005_HE.png,f8539f8b-e8e2-4571-8810-87815d2bdce9,ZoneA,ZoneA,Image,Geometry,1985.9,3244.9,0.9364,0.2256,0.3125,0.0626,NA,NA,3348,NA,NA,379.15,Slide5
P18163_1005_HE.png,56dcfa92-2be0-47f9-8bcc-308d8eca570a,ZoneC,ZoneC,Image,Geometry,2385.3,3342.8,0.7669,0.2612,0.0228,0.042,NA,NA,21032.4,NA,NA,915.09,Slide5
P18163_1005_HE.png,27228e03-1871-446a-b917-df27bd440f1e,ZoneA,ZoneA,Image,Geometry,2059.9,3221.1,0.9087,0.2026,0.302,0.0655,NA,NA,3439.8,NA,NA,341.56,Slide5
P18163_1005_HE.png,3deba72a-8fe6-4f7c-abe3-33da00d1b7cb,ZoneC,ZoneC,Image,Geometry,2949.8,2464.5,0.9598,0.3363,0.0501,0.0544,NA,NA,68082.4,NA,NA,1517,Slide5
P18163_1005_HE.png,8121ff52-afea-4369-8b1b-7920385870dd,ZoneA,ZoneA,Image,Polygon,1933.8,3282.1,0.8838,0.1858,0.2816,0.0724,NA,NA,2437.9,NA,NA,178.28,Slide5
P18163_1005_HE.png,ee5c8ae5-fd9b-459c-b8b7-661d83804f4a,ZoneA,ZoneA,Image,Polygon,2587.7,2309.7,0.7127,0.16,0.3809,0.0938,NA,NA,4775.5,NA,NA,611.42,Slide5
P18163_1005_HE.png,20fd68cb-30b7-41fe-958e-d20d5e7fce40,ZoneA,ZoneA,Image,Geometry,2471.4,2343.5,0.7205,0.2497,0.3197,0.1112,NA,NA,7578.2,NA,NA,694.69,Slide5
P18163_1005_HE.png,27c2ec28-20f3-4af5-9d1b-4bad806bb38f,Region*,Region*,Image,Rectangle,2515,2971,NA,NA,NA,NA,NA,NA,1933704,1979.0634,1284,5580,Slide5
P18163_1005_HE.png,e62d8a4c-6449-46b7-8736-1896aa3a9d10,Duct,Duct,Image,Polygon,2496.6,3393.7,0.5962,0.193,0.4278,0.1912,NA,NA,369.5,NA,NA,79.07,Slide5
P18163_1005_HE.png,0e9be5c1-3e0a-42f5-afc4-c0b6730022b0,ZoneA,ZoneA,Image,Geometry,1928.6,3402.1,0.7975,0.194,0.3822,0.1158,NA,NA,7012.1,NA,NA,511.13,Slide5
P18163_1005_HE.png,fd2779f9-8e4c-45c8-b2c6-e84cdbc39313,ZoneA,ZoneA,Image,Geometry,2135.7,3265.9,0.7937,0.2001,0.3427,0.0644,NA,NA,4448.2,NA,NA,422.5,Slide5
P18163_1005_HE.png,74462b8c-dc3a-4fcf-ba52-9cd2189e3f4a,ZoneA,ZoneA,Image,Geometry,2030.6,3306.8,0.8214,0.2209,0.3351,0.0736,NA,NA,5844.2,NA,NA,479.33,Slide5
P18163_1005_HE.png,5e2b8daf-4999-4035-b0f4-3330afb05b54,ZoneA,ZoneA,Image,Geometry,2255.2,3435.6,0.763,0.2453,0.2853,0.0694,NA,NA,9839.5,NA,NA,705.73,Slide5
P18163_1005_HE.png,872cd759-8806-4a2b-916c-318a8922cf9a,ZoneA,ZoneA,Image,Polygon,2089.7,3406,0.8558,0.2034,0.3629,0.0782,NA,NA,2711.4,NA,NA,260.89,Slide5
P18163_1005_HE.png,63784cff-5299-4376-9f19-9756b463a4b8,ZoneA,ZoneA,Image,Geometry,2541.9,2447.5,0.6526,0.2379,0.3029,0.0929,NA,NA,8079.1,NA,NA,732.93,Slide5
P18163_1005_HE.png,c7f4ba9c-b4dc-4cc0-96c4-8ac4f6e9eb95,ZoneA,ZoneA,Image,Polygon,2672.1,2450.3,0.7837,0.2077,0.3265,0.0811,NA,NA,9786.5,NA,NA,716.61,Slide5
P18163_1005_HE.png,1246a848-e33e-47fe-8fb0-1ac9dde50ecf,ZoneA,ZoneA,Image,Geometry,2374.7,3546.2,0.8606,0.2238,0.312,0.0795,NA,NA,17128.8,NA,NA,777.95,Slide5
P18163_1005_HE.png,a29fd73f-02ee-45c6-8613-1622f6f3da2f,ZoneA,ZoneA,Image,Geometry,2234.5,3325.1,0.7714,0.2095,0.313,0.0612,NA,NA,5619.4,NA,NA,433.29,Slide5
P18163_1005_HE.png,38c96449-7d67-4478-9a78-d94c4ad1bb3c,ZoneA,ZoneA,Image,Geometry,2434.5,3456.8,0.9303,0.2579,0.237,0.0775,NA,NA,6905,NA,NA,594.88,Slide5
P18163_1005_HE.png,e5e4bf57-0aa8-4f7b-a62d-4db1c0787347,ZoneA,ZoneA,Image,Geometry,2020,3408.2,0.892,0.21560000000000001,0.3326,0.0911,NA,NA,5252.3,NA,NA,430,Slide5
P18163_1005_HE.png,ef921f1f-3e37-400f-908e-a403a507f283,ZoneA,ZoneA,Image,Geometry,2161.4,3457.5,0.7887,0.2395,0.3039,0.0799,NA,NA,7513.3,NA,NA,556.02,Slide5
P18163_1005_HE.png,8d235b61-854e-4054-a441-024193713c1b,ZoneA,ZoneA,Image,Geometry,2534.2,3598.1,0.8115,0.205,0.2761,0.0966,NA,NA,15205.6,NA,NA,1106.7,Slide5
P18163_1005_HE.png,eeeaa2bc-7be0-4797-bd96-20724a32a246,Duct,Duct,Image,Polygon,2519.1,3354.5,0.417,0.3525,0.373,0.2173,NA,NA,466.5,NA,NA,92.73,Slide5
P18163_1005_HE.png,02bb6b0a-d54a-408a-a694-1face5cc830c,ZoneA,ZoneA,Image,Polygon,2691.7,2315,0.6502,0.2271,0.3143,0.0906,NA,NA,7762.4,NA,NA,630.78,Slide5
P18163_1005_HE.png,5c4e98f0-9d33-4660-bc5e-5508d18e845b,ZoneA,ZoneA,Image,Polygon,2818.5,2278.2,0.6488,0.1664,0.4206,0.0984,NA,NA,10760.5,NA,NA,706.67,Slide5
P22555_1003.png,b9ad073f-4ff4-42b6-a8d6-b14bb65c3fce,ZoneA,ZoneA,Image,Geometry,1909,3319.2,0.6433,0.1365,0.3035,0.0885,NA,NA,9851.7,NA,NA,623.45,Slide8
P22555_1003.png,d7d72628-75ba-4841-9c43-7b18b3034271,ZoneA,ZoneA,Image,Geometry,1621.6,1654.7,0.7221,0.1895,0.467,0.0871,NA,NA,23746.5,NA,NA,1547.9,Slide8
P22555_1003.png,38d10dd1-1470-465e-be37-620e9f85b26a,ZoneA,ZoneA,Image,Geometry,927.25,3320.8,0.6146,0.1253,0.3487,0.0583,NA,NA,9718.3,NA,NA,718.67,Slide8
P22555_1003.png,17edf02f-42e7-4abb-90c6-87fb4aff0004,ZoneB,ZoneB,Image,Polygon,1636.4,3647.4,0.5866,0.1282,0.1663,0.057,NA,NA,22044.1,NA,NA,1510.1,Slide8
P22555_1003.png,3e7fa854-0754-43f7-b6a3-41678bf1d34b,ZoneA,ZoneA,Image,Geometry,1137,3268.8,0.5958,0.1601,0.3172,0.0644,NA,NA,14623.9,NA,NA,954.62,Slide8
P22555_1003.png,4e75d1f0-bd98-488b-802f-593650e6522e,ZoneA,ZoneA,Image,Geometry,1957.7,2034.2,0.7543,0.1295,0.4627,0.0784,NA,NA,9374.4,NA,NA,679.88,Slide8
P22555_1003.png,5845fca8-e627-4a52-b607-59c038c5edad,ZoneA,ZoneA,Image,Geometry,1419.9,1825.2,0.7781,0.162,0.4094,0.0721,NA,NA,17775.8,NA,NA,1310.8,Slide8
P22555_1003.png,aa09f0c9-5feb-45de-ad47-87c94d18dbfc,ZoneC,ZoneC,Image,Geometry,1735.2,1953.2,1.0826,0.2219,0.0763,0.0627,NA,NA,58014.8,NA,NA,2758.1,Slide8
P22555_1003.png,05c00ea3-031a-47c5-8793-40a8d43439f4,ZoneA,ZoneA,Image,Geometry,1432,1559.8,0.7367,0.1442,0.4819,0.0903,NA,NA,19614.8,NA,NA,1357.6,Slide8
P22555_1003.png,d5f3aafa-4875-4663-97fc-a52388006821,ZoneA,ZoneA,Image,Geometry,1474.6,2138.5,0.8592,0.185,0.4086,0.0543,NA,NA,9808,NA,NA,610.72,Slide8
P22555_1003.png,12f24883-4acf-44a1-8e72-214daca42ad8,ZoneA,ZoneA,Image,Geometry,1851.8,3499.8,0.7457,0.1419,0.342,0.0871,NA,NA,10818.8,NA,NA,814.29,Slide8
P22555_1003.png,d27a1a16-6b79-4759-8a4b-6dca7bc7165a,ZoneA,ZoneA,Image,Polygon,1497.9,1927.7,0.7917,0.1503,0.44,0.0562,NA,NA,8149.8,NA,NA,673.47,Slide8
P22555_1003.png,70859bcd-4e27-41b4-9898-291247e5f684,ZoneA,ZoneA,Image,Geometry,1869.5,2144.5,0.762,0.272,0.3889,0.1009,NA,NA,9663.9,NA,NA,585.76,Slide8
P22555_1003.png,600e1355-ae8f-4a0b-973c-19ac6bb15d27,ZoneA,ZoneA,Image,Geometry,1326.9,3766.3,0.5296,0.1351,0.406,0.0992,NA,NA,18573.1,NA,NA,1462.4,Slide8
P22555_1003.png,e91fb1a9-fca5-41f7-ae9d-ecdc987d86ef,ZoneC,ZoneC,Image,Polygon,1482.3,3342.7,0.8549,0.2297,-0.0172,0.0675,NA,NA,32222.6,NA,NA,1953.6,Slide8
P22555_1003.png,1628b05f-1e9f-4d6d-8f81-da64f4a2ced8,ZoneA,ZoneA,Image,Geometry,1801.6,3196.9,0.7725,0.1783,0.2303,0.0663,NA,NA,8778.7,NA,NA,674.79,Slide8
P22555_1003.png,094857d0-ef99-4aa8-8050-5a8eb1108751,Region*,Region*,Image,Rectangle,1439.5,2656,NA,NA,NA,NA,NA,NA,2928434,2773.6065,1163,7362,Slide8
P22555_1003.png,b2144450-c667-4a8c-b4f7-662b25c6d878,ZoneA,ZoneA,Image,Geometry,1286.5,3344.7,0.624,0.1878,0.3149,0.0606,NA,NA,14191.1,NA,NA,926.58,Slide8
P22555_1003.png,96d23c16-1def-4cb3-837e-337a4a88197b,ZoneA,ZoneA,Image,Geometry,1203.5,1789.8,0.8617,0.1736,0.4715,0.0796,NA,NA,14923.5,NA,NA,851.89,Slide8
P22555_1003.png,d1d99603-bc2c-41d7-8963-13e312c8f4f6,ZoneA,ZoneA,Image,Geometry,1213.8,3540.6,0.5184,0.1506,0.3306,0.0882,NA,NA,24414.4,NA,NA,1463.6,Slide8
