# SignalP-6.0	Organism: Eukarya	Timestamp: 20221121194019
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-5	OTHER	1.000053	0.000000	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-6	OTHER	1.000052	0.000000	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-7	OTHER	0.997351	0.002663	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-8	OTHER	1.000061	0.000000	
maker-000000F-est_gff_StringTie-gene-12.0-mRNA-9	OTHER	1.000052	0.000000	
maker-000000F-est_gff_StringTie-gene-19.1-mRNA-1	SP	0.000214	0.999757	CS pos: 21-22. Pr: 0.9749
maker-000000F-est_gff_StringTie-gene-19.1-mRNA-2	SP	0.000214	0.999757	CS pos: 21-22. Pr: 0.9749
evm-000000F-processed-gene-21.0-mRNA-1	OTHER	1.000030	0.000000	
maker-000000F-est_gff_StringTie-gene-25.0-mRNA-1	SP	0.000397	0.999561	CS pos: 28-29. Pr: 0.9631
maker-000000F-est_gff_StringTie-gene-25.0-mRNA-2	SP	0.000285	0.999684	CS pos: 28-29. Pr: 0.9704
maker-000000F-est_gff_StringTie-gene-31.0-mRNA-1	OTHER	0.989319	0.010690	
maker-000000F-est_gff_StringTie-gene-33.0-mRNA-1	OTHER	0.999950	0.000049	
maker-000000F-est_gff_StringTie-gene-33.0-mRNA-2	OTHER	0.999950	0.000049	
maker-000000F-est_gff_StringTie-gene-34.0-mRNA-1	OTHER	1.000027	0.000000	
maker-000000F-augustus-gene-35.2-mRNA-4	OTHER	0.999815	0.000220	
maker-000000F-augustus-gene-35.2-mRNA-1	OTHER	0.999815	0.000220	
maker-000000F-augustus-gene-35.2-mRNA-2	OTHER	0.999815	0.000220	
maker-000000F-augustus-gene-35.2-mRNA-3	OTHER	0.999815	0.000220	
maker-000000F-est_gff_StringTie-gene-36.0-mRNA-1	SP	0.000190	0.999786	CS pos: 27-28. Pr: 0.9775
maker-000000F-est_gff_StringTie-gene-36.0-mRNA-3	OTHER	0.999927	0.000088	
maker-000000F-est_gff_StringTie-gene-36.0-mRNA-2	SP	0.000190	0.999794	CS pos: 27-28. Pr: 0.9775
maker-000000F-augustus-gene-36.4-mRNA-1	SP	0.018156	0.981802	CS pos: 25-26. Pr: 0.9275
maker-000000F-est_gff_StringTie-gene-36.1-mRNA-1	SP	0.000236	0.999728	CS pos: 18-19. Pr: 0.9833
maker-000000F-est_gff_StringTie-gene-36.1-mRNA-2	OTHER	1.000040	0.000000	
maker-000000F-est_gff_StringTie-gene-36.1-mRNA-7	OTHER	1.000060	0.000000	
maker-000000F-est_gff_StringTie-gene-36.1-mRNA-5	OTHER	1.000009	0.000023	
maker-000000F-est_gff_StringTie-gene-36.1-mRNA-3	OTHER	1.000039	0.000023	
maker-000000F-est_gff_StringTie-gene-36.1-mRNA-4	OTHER	1.000060	0.000000	
maker-000000F-est_gff_StringTie-gene-36.1-mRNA-6	OTHER	1.000035	0.000000	
maker-000000F-est_gff_StringTie-gene-41.1-mRNA-1	OTHER	0.848158	0.151848	
maker-000000F-est_gff_StringTie-gene-41.2-mRNA-1	OTHER	1.000057	0.000001	
maker-000000F-est_gff_StringTie-gene-43.0-mRNA-1	OTHER	0.856175	0.143842	
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-6	SP	0.000220	0.999721	CS pos: 21-22. Pr: 0.9778
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-13	SP	0.000201	0.999780	CS pos: 20-21. Pr: 0.9826
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-10	OTHER	0.999727	0.000264	
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-14	OTHER	0.886074	0.113919	
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-15	SP	0.000288	0.999716	CS pos: 19-20. Pr: 0.9754
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-9	SP	0.000221	0.999776	CS pos: 19-20. Pr: 0.9800
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-11	SP	0.000247	0.999724	CS pos: 20-21. Pr: 0.9820
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-7	SP	0.000216	0.999770	CS pos: 20-21. Pr: 0.9775
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-16	SP	0.000209	0.999772	CS pos: 28-29. Pr: 0.9761
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-5	SP	0.000293	0.999678	CS pos: 22-23. Pr: 0.9768
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-12	SP	0.000287	0.999666	CS pos: 21-22. Pr: 0.9794
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-3	SP	0.000215	0.999757	CS pos: 22-23. Pr: 0.9767
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-1	SP	0.000236	0.999761	CS pos: 19-20. Pr: 0.8320
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-8	SP	0.000236	0.999761	CS pos: 19-20. Pr: 0.8320
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-2	OTHER	1.000027	0.000001	
maker-000000F-est_gff_StringTie-gene-43.1-mRNA-4	SP	0.000225	0.999746	CS pos: 23-24. Pr: 0.9796
maker-000000F-augustus-gene-44.0-mRNA-1	OTHER	1.000063	0.000000	
maker-000000F-exonerate_protein2genome-gene-45.4-mRNA-1	OTHER	1.000048	0.000004	
augustus_masked-000000F-processed-gene-45.14-mRNA-1	OTHER	1.000024	0.000039	
maker-000000F-est_gff_StringTie-gene-46.0-mRNA-1	OTHER	1.000036	0.000001	
maker-000000F-est_gff_StringTie-gene-46.1-mRNA-1	OTHER	0.790830	0.209165	
maker-000000F-est_gff_StringTie-gene-46.2-mRNA-1	OTHER	1.000046	0.000001	
maker-000000F-est_gff_StringTie-gene-47.0-mRNA-1	OTHER	0.999962	0.000035	
maker-000000F-est_gff_StringTie-gene-47.1-mRNA-1	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-47.1-mRNA-2	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-47.1-mRNA-3	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-47.1-mRNA-5	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-47.1-mRNA-4	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-48.4-mRNA-1	SP	0.000234	0.999719	CS pos: 21-22. Pr: 0.9778
maker-000000F-exonerate_protein2genome-gene-48.0-mRNA-6	OTHER	1.000043	0.000000	
maker-000000F-exonerate_protein2genome-gene-48.0-mRNA-1	OTHER	1.000045	0.000000	
maker-000000F-exonerate_protein2genome-gene-48.0-mRNA-2	OTHER	1.000043	0.000000	
maker-000000F-exonerate_protein2genome-gene-48.0-mRNA-3	OTHER	1.000045	0.000000	
maker-000000F-exonerate_protein2genome-gene-48.0-mRNA-7	OTHER	1.000045	0.000000	
maker-000000F-exonerate_protein2genome-gene-48.0-mRNA-5	OTHER	0.984960	0.015040	
maker-000000F-exonerate_protein2genome-gene-48.0-mRNA-4	OTHER	0.999988	0.000011	
evm-000000F-processed-gene-48.1-mRNA-1	OTHER	1.000051	0.000000	
maker-000000F-est_gff_StringTie-gene-49.0-mRNA-1	OTHER	1.000057	0.000000	
maker-000000F-est_gff_StringTie-gene-49.0-mRNA-2	OTHER	1.000086	0.000001	
maker-000000F-est_gff_StringTie-gene-49.0-mRNA-3	OTHER	0.992964	0.007099	
maker-000000F-est_gff_StringTie-gene-49.1-mRNA-1	SP	0.000228	0.999741	CS pos: 27-28. Pr: 0.9758
maker-000000F-est_gff_StringTie-gene-50.0-mRNA-1	OTHER	1.000037	0.000014	
maker-000000F-est_gff_StringTie-gene-51.0-mRNA-3	OTHER	1.000047	0.000000	
maker-000000F-est_gff_StringTie-gene-51.0-mRNA-1	OTHER	1.000047	0.000000	
maker-000000F-est_gff_StringTie-gene-51.0-mRNA-2	OTHER	1.000047	0.000000	
maker-000000F-est_gff_StringTie-gene-52.0-mRNA-1	SP	0.000228	0.999743	CS pos: 19-20. Pr: 0.9545
maker-000000F-est_gff_StringTie-gene-52.1-mRNA-1	OTHER	1.000056	0.000000	
maker-000000F-augustus-gene-54.1-mRNA-1	OTHER	1.000046	0.000000	
evm-000000F-processed-gene-54.21-mRNA-1	OTHER	1.000051	0.000000	
maker-000000F-est_gff_StringTie-gene-54.3-mRNA-2	OTHER	1.000042	0.000000	
maker-000000F-est_gff_StringTie-gene-54.3-mRNA-1	OTHER	1.000042	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-4	OTHER	1.000062	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-6	OTHER	1.000057	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-8	OTHER	1.000077	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-1	OTHER	1.000060	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-2	OTHER	1.000060	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-3	OTHER	1.000060	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-5	OTHER	1.000060	0.000000	
maker-000000F-est_gff_StringTie-gene-55.0-mRNA-7	OTHER	1.000060	0.000000	
augustus_masked-000000F-processed-gene-56.1-mRNA-1	OTHER	1.000052	0.000002	
augustus_masked-000000F-processed-gene-57.4-mRNA-1	OTHER	1.000052	0.000000	
evm-000000F-processed-gene-57.13-mRNA-1	OTHER	1.000042	0.000000	
maker-000000F-est_gff_StringTie-gene-58.0-mRNA-1	OTHER	0.999532	0.000485	
maker-000000F-est_gff_StringTie-gene-58.0-mRNA-2	OTHER	0.999532	0.000485	
maker-000000F-est_gff_StringTie-gene-58.1-mRNA-5	SP	0.000208	0.999783	CS pos: 19-20. Pr: 0.9802
maker-000000F-est_gff_StringTie-gene-58.1-mRNA-2	SP	0.000208	0.999783	CS pos: 19-20. Pr: 0.9802
maker-000000F-est_gff_StringTie-gene-58.1-mRNA-4	SP	0.000208	0.999783	CS pos: 19-20. Pr: 0.9802
maker-000000F-est_gff_StringTie-gene-58.1-mRNA-1	SP	0.000208	0.999783	CS pos: 19-20. Pr: 0.9802
maker-000000F-est_gff_StringTie-gene-58.1-mRNA-3	SP	0.000208	0.999783	CS pos: 19-20. Pr: 0.9802
maker-000000F-est_gff_StringTie-gene-58.1-mRNA-6	SP	0.000208	0.999783	CS pos: 19-20. Pr: 0.9802
augustus_masked-000000F-processed-gene-59.6-mRNA-1	OTHER	1.000076	0.000000	
maker-000000F-exonerate_protein2genome-gene-59.2-mRNA-1	OTHER	0.999988	0.000040	
maker-000000F-exonerate_protein2genome-gene-59.2-mRNA-2	OTHER	1.000032	0.000000	
evm-000000F-processed-gene-60.9-mRNA-1	OTHER	1.000058	0.000000	
maker-000000F-augustus-gene-60.8-mRNA-1	OTHER	0.999174	0.000825	
maker-000000F-est_gff_StringTie-gene-62.0-mRNA-1	OTHER	1.000054	0.000002	
maker-000000F-est_gff_StringTie-gene-63.0-mRNA-1	SP	0.000285	0.999690	CS pos: 22-23. Pr: 0.9756
maker-000000F-est_gff_StringTie-gene-63.0-mRNA-2	SP	0.000285	0.999690	CS pos: 22-23. Pr: 0.9756
maker-000000F-est_gff_StringTie-gene-63.1-mRNA-1	SP	0.000371	0.999568	CS pos: 21-22. Pr: 0.7698
maker-000000F-est_gff_StringTie-gene-63.2-mRNA-1	OTHER	0.999996	0.000010	
maker-000000F-est_gff_StringTie-gene-65.1-mRNA-1	OTHER	1.000067	0.000000	
maker-000000F-est_gff_StringTie-gene-65.1-mRNA-2	OTHER	1.000054	0.000000	
maker-000000F-est_gff_StringTie-gene-65.1-mRNA-3	OTHER	1.000067	0.000000	
maker-000000F-est_gff_StringTie-gene-65.1-mRNA-4	OTHER	1.000067	0.000000	
maker-000000F-est_gff_StringTie-gene-65.2-mRNA-1	OTHER	1.000043	0.000000	
maker-000000F-est_gff_StringTie-gene-65.2-mRNA-3	OTHER	1.000043	0.000000	
maker-000000F-est_gff_StringTie-gene-65.2-mRNA-2	OTHER	1.000043	0.000000	
maker-000000F-exonerate_protein2genome-gene-65.0-mRNA-1	OTHER	1.000045	0.000000	
maker-000000F-augustus-gene-65.6-mRNA-1	OTHER	1.000070	0.000000	
maker-000000F-est_gff_StringTie-gene-65.4-mRNA-2	OTHER	1.000051	0.000002	
maker-000000F-est_gff_StringTie-gene-65.4-mRNA-1	OTHER	1.000077	0.000000	
maker-000000F-est_gff_StringTie-gene-65.4-mRNA-3	OTHER	1.000048	0.000002	
maker-000000F-est_gff_StringTie-gene-66.0-mRNA-1	OTHER	1.000034	0.000000	
maker-000000F-est_gff_StringTie-gene-66.0-mRNA-2	OTHER	1.000034	0.000000	
maker-000000F-augustus-gene-69.5-mRNA-1	OTHER	1.000058	0.000000	
maker-000000F-augustus-gene-69.6-mRNA-3	OTHER	1.000046	0.000000	
maker-000000F-augustus-gene-69.6-mRNA-1	OTHER	1.000043	0.000000	
maker-000000F-augustus-gene-69.6-mRNA-2	OTHER	1.000043	0.000000	
maker-000000F-augustus-gene-69.6-mRNA-4	OTHER	1.000012	0.000035	
maker-000000F-est_gff_StringTie-gene-69.3-mRNA-2	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-69.3-mRNA-3	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-69.3-mRNA-1	OTHER	1.000064	0.000000	
maker-000000F-est_gff_StringTie-gene-70.0-mRNA-1	OTHER	1.000020	0.000000	
maker-000000F-est_gff_StringTie-gene-72.0-mRNA-1	OTHER	0.988654	0.011343	
maker-000000F-augustus-gene-72.16-mRNA-3	OTHER	1.000009	0.000008	
maker-000000F-augustus-gene-72.16-mRNA-1	OTHER	1.000009	0.000008	
maker-000000F-augustus-gene-72.16-mRNA-2	OTHER	1.000009	0.000008	
maker-000000F-augustus-gene-72.16-mRNA-4	OTHER	1.000003	0.000009	
maker-000000F-augustus-gene-72.16-mRNA-6	OTHER	1.000003	0.000009	
maker-000000F-augustus-gene-72.16-mRNA-5	OTHER	1.000003	0.000009	
maker-000000F-est_gff_StringTie-gene-73.0-mRNA-3	OTHER	1.000042	0.000009	
maker-000000F-est_gff_StringTie-gene-73.0-mRNA-4	OTHER	1.000052	0.000002	
maker-000000F-est_gff_StringTie-gene-73.0-mRNA-1	OTHER	1.000042	0.000009	
maker-000000F-est_gff_StringTie-gene-73.0-mRNA-2	OTHER	1.000050	0.000002	
maker-000000F-est_gff_StringTie-gene-75.0-mRNA-1	SP	0.000173	0.999813	CS pos: 21-22. Pr: 0.9764
maker-000000F-est_gff_StringTie-gene-76.0-mRNA-1	OTHER	1.000041	0.000000	
maker-000000F-est_gff_StringTie-gene-79.0-mRNA-2	OTHER	1.000025	0.000001	
maker-000000F-est_gff_StringTie-gene-79.0-mRNA-1	OTHER	0.999998	0.000002	
maker-000000F-est_gff_StringTie-gene-83.0-mRNA-1	OTHER	1.000018	0.000000	
maker-000000F-est_gff_StringTie-gene-84.0-mRNA-1	OTHER	1.000000	0.000034	
maker-000000F-est_gff_StringTie-gene-84.0-mRNA-2	OTHER	0.999936	0.000062	
maker-000000F-exonerate_protein2genome-gene-84.8-mRNA-1	OTHER	1.000059	0.000000	
maker-000000F-exonerate_protein2genome-gene-84.8-mRNA-2	OTHER	1.000032	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-1	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-2	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-3	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-6	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-4	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-7	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-9	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-5	OTHER	1.000060	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-10	OTHER	1.000063	0.000000	
maker-000000F-augustus-gene-85.4-mRNA-8	OTHER	1.000060	0.000000	
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-1	SP	0.000269	0.999740	CS pos: 21-22. Pr: 0.9766
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-3	SP	0.000269	0.999740	CS pos: 21-22. Pr: 0.9766
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-2	SP	0.000269	0.999733	CS pos: 21-22. Pr: 0.9766
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-4	SP	0.000269	0.999740	CS pos: 21-22. Pr: 0.9766
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-5	SP	0.438399	0.561578	CS pos: 27-28. Pr: 0.5023
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-6	SP	0.438399	0.561578	CS pos: 27-28. Pr: 0.5023
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-7	SP	0.438399	0.561578	CS pos: 27-28. Pr: 0.5023
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-8	SP	0.438399	0.561578	CS pos: 27-28. Pr: 0.5023
maker-000000F-est_gff_StringTie-gene-87.2-mRNA-9	SP	0.438394	0.561585	CS pos: 27-28. Pr: 0.5023
maker-000000F-augustus-gene-87.11-mRNA-1	OTHER	1.000076	0.000000	
maker-000000F-exonerate_protein2genome-gene-88.1-mRNA-1	OTHER	1.000055	0.000003	
maker-000000F-exonerate_protein2genome-gene-88.1-mRNA-2	OTHER	1.000050	0.000000	
maker-000000F-augustus-gene-89.0-mRNA-1	OTHER	1.000065	0.000000	
maker-000000F-exonerate_protein2genome-gene-89.0-mRNA-1	OTHER	1.000046	0.000003	
evm-000000F-processed-gene-90.11-mRNA-1	OTHER	1.000045	0.000000	
maker-000000F-est_gff_StringTie-gene-91.0-mRNA-1	SP	0.128521	0.871448	CS pos: 23-24. Pr: 0.8538
maker-000000F-est_gff_StringTie-gene-91.0-mRNA-2	SP	0.128521	0.871448	CS pos: 23-24. Pr: 0.8538
maker-000000F-est_gff_StringTie-gene-91.1-mRNA-1	OTHER	1.000040	0.000000	
evm-000000F-processed-gene-91.0-mRNA-1	SP	0.155723	0.844245	CS pos: 28-29. Pr: 0.8204
maker-000000F-est_gff_StringTie-gene-91.3-mRNA-3	OTHER	1.000028	0.000003	
maker-000000F-est_gff_StringTie-gene-91.3-mRNA-6	OTHER	1.000069	0.000001	
maker-000000F-est_gff_StringTie-gene-91.3-mRNA-2	OTHER	1.000028	0.000003	
maker-000000F-est_gff_StringTie-gene-91.3-mRNA-5	OTHER	0.999876	0.000152	
maker-000000F-est_gff_StringTie-gene-91.3-mRNA-1	OTHER	1.000028	0.000003	
maker-000000F-est_gff_StringTie-gene-91.3-mRNA-4	OTHER	0.999757	0.000246	
maker-000000F-est_gff_StringTie-gene-92.1-mRNA-1	OTHER	0.999993	0.000005	
maker-000000F-est_gff_StringTie-gene-92.1-mRNA-2	OTHER	0.999821	0.000172	
maker-000000F-est_gff_StringTie-gene-92.2-mRNA-1	OTHER	1.000082	0.000000	
maker-000000F-est_gff_StringTie-gene-92.2-mRNA-3	OTHER	1.000084	0.000000	
maker-000000F-est_gff_StringTie-gene-92.2-mRNA-2	OTHER	1.000082	0.000000	
evm-000000F-processed-gene-92.20-mRNA-1	OTHER	0.999286	0.000767	
maker-000000F-est_gff_StringTie-gene-92.4-mRNA-1	OTHER	1.000073	0.000000	
maker-000000F-est_gff_StringTie-gene-92.4-mRNA-2	OTHER	1.000058	0.000000	
maker-000000F-est_gff_StringTie-gene-92.4-mRNA-3	OTHER	1.000028	0.000008	
maker-000000F-est_gff_StringTie-gene-92.4-mRNA-4	OTHER	1.000062	0.000000	
maker-000000F-est_gff_StringTie-gene-93.0-mRNA-1	OTHER	1.000055	0.000002	
maker-000000F-est_gff_StringTie-gene-93.1-mRNA-1	OTHER	0.957861	0.042137	
maker-000000F-est_gff_StringTie-gene-96.3-mRNA-1	OTHER	1.000034	0.000014	
maker-000000F-est_gff_StringTie-gene-96.3-mRNA-2	OTHER	1.000030	0.000014	
evm-000000F-processed-gene-96.15-mRNA-1	OTHER	1.000051	0.000003	
evm-000000F-processed-gene-97.2-mRNA-1	OTHER	1.000042	0.000000	
evm-000000F-processed-gene-97.3-mRNA-1	OTHER	1.000066	0.000003	
maker-000000F-exonerate_protein2genome-gene-97.0-mRNA-2	OTHER	1.000053	0.000001	
maker-000000F-exonerate_protein2genome-gene-97.0-mRNA-3	OTHER	1.000048	0.000001	
maker-000000F-exonerate_protein2genome-gene-97.0-mRNA-1	OTHER	1.000053	0.000001	
maker-000000F-exonerate_protein2genome-gene-97.0-mRNA-5	OTHER	1.000044	0.000000	
maker-000000F-exonerate_protein2genome-gene-97.0-mRNA-4	OTHER	1.000044	0.000000	
maker-000000F-exonerate_protein2genome-gene-97.0-mRNA-6	OTHER	1.000055	0.000000	
augustus_masked-000000F-processed-gene-97.13-mRNA-1	OTHER	1.000059	0.000000	
maker-000000F-est_gff_StringTie-gene-97.3-mRNA-1	OTHER	1.000095	0.000000	
maker-000000F-est_gff_StringTie-gene-100.0-mRNA-3	OTHER	0.999976	0.000060	
maker-000000F-est_gff_StringTie-gene-100.0-mRNA-1	OTHER	1.000059	0.000000	
maker-000000F-est_gff_StringTie-gene-100.0-mRNA-2	OTHER	1.000059	0.000000	
maker-000000F-est_gff_StringTie-gene-101.0-mRNA-1	OTHER	1.000029	0.000000	
maker-000000F-est_gff_StringTie-gene-101.1-mRNA-5	OTHER	1.000059	0.000003	
maker-000000F-est_gff_StringTie-gene-101.1-mRNA-1	OTHER	1.000053	0.000000	
maker-000000F-est_gff_StringTie-gene-101.1-mRNA-2	OTHER	1.000039	0.000000	
maker-000000F-est_gff_StringTie-gene-101.1-mRNA-4	OTHER	1.000059	0.000003	
maker-000000F-est_gff_StringTie-gene-101.1-mRNA-6	OTHER	1.000068	0.000003	
maker-000000F-est_gff_StringTie-gene-101.1-mRNA-3	OTHER	1.000059	0.000003	
maker-000000F-est_gff_StringTie-gene-103.4-mRNA-1	OTHER	1.000062	0.000000	
maker-000000F-augustus-gene-103.9-mRNA-1	OTHER	1.000063	0.000000	
maker-000000F-est_gff_StringTie-gene-103.5-mRNA-1	OTHER	1.000073	0.000001	
maker-000000F-augustus-gene-103.11-mRNA-4	SP	0.001876	0.998080	CS pos: 26-27. Pr: 0.7658
maker-000000F-augustus-gene-103.11-mRNA-1	SP	0.001876	0.998080	CS pos: 26-27. Pr: 0.7658
maker-000000F-augustus-gene-103.11-mRNA-2	SP	0.001876	0.998080	CS pos: 26-27. Pr: 0.7658
maker-000000F-augustus-gene-103.11-mRNA-3	SP	0.001876	0.998080	CS pos: 26-27. Pr: 0.7658
augustus_masked-000000F-processed-gene-104.5-mRNA-1	OTHER	1.000047	0.000000	
maker-000000F-est_gff_StringTie-gene-104.0-mRNA-1	SP	0.000166	0.999820	CS pos: 21-22. Pr: 0.9534
maker-000000F-est_gff_StringTie-gene-104.0-mRNA-2	SP	0.000166	0.999840	CS pos: 21-22. Pr: 0.9534
maker-000000F-est_gff_StringTie-gene-105.0-mRNA-1	SP	0.000216	0.999734	CS pos: 19-20. Pr: 0.9220
maker-000000F-est_gff_StringTie-gene-105.1-mRNA-2	OTHER	1.000040	0.000000	
maker-000000F-est_gff_StringTie-gene-105.1-mRNA-1	OTHER	1.000048	0.000000	
evm-000000F-processed-gene-105.6-mRNA-1	OTHER	1.000034	0.000002	
maker-000000F-est_gff_StringTie-gene-108.0-mRNA-1	OTHER	1.000070	0.000000	
maker-000000F-est_gff_StringTie-gene-108.0-mRNA-2	OTHER	1.000070	0.000000	
maker-000000F-est_gff_StringTie-gene-108.0-mRNA-3	OTHER	1.000070	0.000000	
maker-000000F-exonerate_protein2genome-gene-109.0-mRNA-1	OTHER	1.000086	0.000000	
maker-000000F-est_gff_StringTie-gene-110.0-mRNA-1	OTHER	1.000077	0.000000	
maker-000000F-est_gff_StringTie-gene-110.0-mRNA-4	OTHER	1.000077	0.000000	
maker-000000F-est_gff_StringTie-gene-110.0-mRNA-3	OTHER	1.000077	0.000000	
maker-000000F-est_gff_StringTie-gene-110.0-mRNA-2	OTHER	1.000077	0.000000	
maker-000000F-exonerate_protein2genome-gene-110.3-mRNA-1	OTHER	1.000061	0.000000	
evm-000000F-processed-gene-111.1-mRNA-1	OTHER	1.000062	0.000000	
maker-000000F-augustus-gene-111.5-mRNA-1	OTHER	1.000033	0.000000	
maker-000000F-augustus-gene-111.5-mRNA-2	OTHER	1.000033	0.000000	
maker-000000F-augustus-gene-112.0-mRNA-1	OTHER	1.000051	0.000000	
maker-000000F-augustus-gene-112.0-mRNA-2	OTHER	1.000051	0.000000	
maker-000000F-augustus-gene-112.1-mRNA-1	OTHER	0.991100	0.008886	
maker-000000F-augustus-gene-112.1-mRNA-2	OTHER	1.000033	0.000001	
maker-000000F-augustus-gene-112.1-mRNA-3	OTHER	0.998754	0.001275	
