geneName,n_gland,percent_gland,rank_gland,n_silk,percent_silk,rank_silk,type,solution,NSAFMW,NSAF,Length,gene_id,geneNameProtein,silkGroup,LFQ_int,iBAQ
MaSp2f,3,1.093241339099176,7,9,4.082972800867129,6,silk,Urea,5.156316333333334,0.03296666666666667,1863,maker-000175F-exonerate_protein2genome-gene-8.3-GeneB,MaSp2f,MaSp2,6.1892898377584515,3.0447917012524455
MaSp2b,3,1.0672117834063384,8,9,3.4491322644089997,7,silk,HFIP,1.1092034666666668,0.010306666666666667,1233,evm-000033F-processed-gene-24.21-GeneB,MaSp2b,MaSp2,7.622554602994026,14.646907914661849
MaSp2b,3,1.0672117834063384,8,9,3.4491322644089997,7,silk,LiBr,1.1619372666666665,0.010796666666666666,1233,evm-000033F-processed-gene-24.21-GeneB,MaSp2b,MaSp2,7.622554602994026,14.646907914661849
MaSp2b,3,1.0672117834063384,8,9,3.4491322644089997,7,silk,Urea,1.0396092000000001,0.00966,1233,evm-000033F-processed-gene-24.21-GeneB,MaSp2b,MaSp2,7.622554602994026,14.646907914661849
MaSp2e,3,0.7548571150922883,9,9,2.57698837258128,9,silk,HFIP,1.9228439999999998,0.0132,1730,maker-000175F-exonerate_protein2genome-gene-8.3-GeneA,MaSp2e,MaSp2,15.294543780605299,17.376793076949145
MaSp2e,3,0.7548571150922883,9,9,2.57698837258128,9,silk,LiBr,1.4071722,0.00966,1730,maker-000175F-exonerate_protein2genome-gene-8.3-GeneA,MaSp2e,MaSp2,15.294543780605299,17.376793076949145
MaSp2e,3,0.7548571150922883,9,9,2.57698837258128,9,silk,Urea,1.9908233333333332,0.013666666666666666,1730,maker-000175F-exonerate_protein2genome-gene-8.3-GeneA,MaSp2e,MaSp2,15.294543780605299,17.376793076949145
cher_2,3,0.6680919294494964,10,9,0.0021197818037929713,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alpha-spec,3,0.6273122921973844,11,9,0.004301249263028548,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beta-spec_2,3,0.5396794546981647,12,9,0.010838262547640184,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hdlbp_2,3,0.45204661719894496,13,9,0.006482716722264124,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hspg2,3,0.4320906245011029,14,9,0.004432300266425121,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zip,3,0.4268847133625354,15,9,0.02998452684961983,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dhc64c,3,0.4190758466546841,16,9,0.004301249263028548,756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lrp2_6,3,0.4130022836596887,17,9,0.0021814674592355765,1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
snd1,3,0.3835021205411395,18,9,0.004470677486949649,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gapdh1,3,0.37656090568971623,19,9,0.02608434439294309,111,NA,NA,NA,NA,NA,NA,NA,NA,0,6.854743727977168e-4
phgdh,3,0.3748256019768604,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC013229,2,0.3644137796997253,21,9,0.5932554754312643,17,silk,HFIP,1.6370484666666667,0.04223333333333333,414,maker-000181F-est_gff_StringTie-gene-10.2,SpiCE-LMa1,Spice-LMa,0.837454808085238,0.6316482948461238
LASC013229,2,0.3644137796997253,21,9,0.5932554754312643,17,silk,LiBr,0.7468145333333334,0.019266666666666668,414,maker-000181F-est_gff_StringTie-gene-10.2,SpiCE-LMa1,Spice-LMa,0.837454808085238,0.6316482948461238
LASC013229,2,0.3644137796997253,21,9,0.5932554754312643,17,silk,Urea,1.5879499333333333,0.040966666666666665,414,maker-000181F-est_gff_StringTie-gene-10.2,SpiCE-LMa1,Spice-LMa,0.837454808085238,0.6316482948461238
actg1,3,0.35400195742259033,22,9,0.03191588360418676,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cltc,3,0.34879604628402283,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gcn1,3,0.32016353502190154,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eprs,3,0.3140899720269061,25,9,0.015357227750412886,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atp5f1b,3,0.2880604163340686,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aldh1l2,3,0.2802515496262173,27,9,0.0021814674592355765,978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC006378,3,0.27764859405693365,28,9,0.006406451673685425,595,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0019122126073372555
LASC003517,3,0.26723677177979854,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tubb4b_3,3,0.26463381621051485,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tub2,3,0.2576926013590915,31,9,0.0021197818037929713,1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC006408,3,0.2470204835250281,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glyp,3,0.2455454753691006,33,9,0.01505605646204903,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC015682,3,0.242074867943389,34,9,0.0021197818037929713,1307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pdi,3,0.242074867943389,35,9,0.0021430902387110473,1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ktn1,3,0.24120721608696105,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rack1,3,0.23374541012168093,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glyp_2,3,0.23339834937910978,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC011384,3,0.23079539380982603,39,9,0.004286669869892454,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aco2,3,0.22645713452768648,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eno1,3,0.21951591967626308,41,9,0.0021430902387110473,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ter94_vcp,3,0.20823644554270018,42,9,0.0021430902387110473,1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uba1,3,0.20823644554270018,43,9,0.004286669869892454,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blw_atp5f1a,3,0.20563348997341643,44,9,0.002166888066099482,1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC016132,3,0.20216288254770476,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
copg2,3,0.19782462326556516,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
myo6_jar,3,0.19782462326556516,47,9,0.008780655791760178,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC015638,3,0.19261871212699766,48,9,0.008617769980239368,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
llgl1,3,0.19175106027056976,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eef1alpha1_2,3,0.19088340841414184,50,9,0.021401514541338026,164,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0015933228134752614
tubb4b_4,3,0.1848098454191464,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
copa,3,0.18133923799343474,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC014844,3,0.1778686305677231,53,9,0.0021430902387110473,1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qars,3,0.1778686305677231,54,9,0.0021350532579752454,1286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC002397,3,0.17613332685486724,55,9,0.0021197818037929713,1296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hspa5_2,3,0.17587303129793885,56,9,0.002166888066099482,1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hsp60a,3,0.1709274157162997,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC002839,3,0.16572150457773221,58,9,0.010932964464723567,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MaSp4,3,0.16138324529559264,59,9,1.0830060894851783,13,silk,HFIP,1.9980326666666668,0.010653333333333332,1926,evm-000033F-processed-gene-22.11,MaSp4,MaSp4,1.6026195758860384,0.9943330378357217
MaSp4,3,0.16138324529559264,59,9,1.0830060894851783,13,silk,LiBr,3.3715238333333337,0.01797666666666667,1926,evm-000033F-processed-gene-22.11,MaSp4,MaSp4,1.6026195758860384,0.9943330378357217
MaSp4,3,0.16138324529559264,59,9,1.0830060894851783,13,silk,Urea,2.5819383333333334,0.013766666666666667,1926,evm-000033F-processed-gene-22.11,MaSp4,MaSp4,1.6026195758860384,0.9943330378357217
eef1alpha1,3,0.16051559343916472,60,9,0.010755499260066663,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rpl6_rpl-6,3,0.16051559343916472,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hcd,3,0.1596479415827368,62,9,0.39910519720895654,20,NA,NA,NA,NA,NA,NA,NA,NA,0,1.1464266397345853
pkm,3,0.1596479415827368,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rpl4,3,0.1593876460258084,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC020761,3,0.1587802897263089,65,9,0.019558771425698736,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nrg,3,0.15791263786988097,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rplp0,3,0.15704498601345304,67,9,0.002166888066099482,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rps4,3,0.15617733415702512,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC015439,3,0.15478909118674047,69,9,0.008635717456273692,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yars,3,0.15478909118674047,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC007825,3,0.15270672673131347,71,9,0.004286180477422095,788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
calr_crt,3,0.15270672673131347,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rps3,2,0.15097142301845762,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vhaa,3,0.14923611930560177,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actn,3,0.14836846744917387,75,9,0.0021350532579752454,1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
atpalpha,3,0.14663316373631802,76,9,0.0021430902387110473,1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cont,3,0.1461125726224613,77,9,0.0021814674592355765,987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hca,3,0.14316255631060637,78,9,0.4391654951363122,19,NA,NA,NA,NA,NA,NA,NA,NA,0,0.7506871375224866
eif3a_2,3,0.14229490445417847,79,9,0.004470677486949649,645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hsp83_hsp90aa1,3,0.14142725259775055,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pgk,3,0.1388242970284668,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rpl10ab,3,0.1388242970284668,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slc3a1_3,3,0.1388242970284668,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cct2,3,0.13795664517203884,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tuba1c,3,0.13795664517203884,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tubb4b,3,0.13769634961511049,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gdi2_gdi1,3,0.13708899331561095,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hsp90b1,3,0.13708899331561095,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cand1,3,0.13622134145918305,89,9,0.008772618811024376,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fas2_3,3,0.13509339404582674,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aldh7a1,3,0.1344860377463272,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pdia3,3,0.1344860377463272,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uqcrc1,3,0.1344860377463272,93,9,0.004286669869892454,784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oplah,3,0.13249043847654302,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aldh1a2,3,0.13075513476368714,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aldh4a1,3,0.13049483920675878,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rps8,3,0.13049483920675878,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctsb,3,0.13014777846418762,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mttp_2,3,0.1301477784641876,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xync,2,0.1292801266077597,100,9,0.48628361398014325,18,silk,HFIP,1.0139108000000001,0.00868,1403,maker-000173F-est_gff_StringTie-gene-11.1,SpiCE-LMa2,Spice-LMa,0.5665952386171386,0.06650575846091815
xync,2,0.1292801266077597,100,9,0.48628361398014325,18,silk,LiBr,0.5910586,0.00506,1403,maker-000173F-est_gff_StringTie-gene-11.1,SpiCE-LMa2,Spice-LMa,0.5665952386171386,0.06650575846091815
xync,2,0.1292801266077597,100,9,0.48628361398014325,18,silk,Urea,1.3289084333333334,0.011376666666666667,1403,maker-000173F-est_gff_StringTie-gene-11.1,SpiCE-LMa2,Spice-LMa,0.5665952386171386,0.06650575846091815
idh2,3,0.12667717103847595,101,9,0.0021197818037929713,1363,NA,NA,NA,NA,NA,NA,NA,NA,0,0.003580132817493201
rpsa,3,0.12468157176869174,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cct5,3,0.1240742154691922,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hts_2,3,0.1240742154691922,104,9,0.002166888066099482,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
syncrip_2,3,0.1240742154691922,105,9,0.0021197818037929713,1403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rpl3,2,0.12407421546919217,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssr1,3,0.12407421546919217,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
usp5,3,0.12355362435533543,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sspo,2,0.12346685916969265,109,9,0.0021430902387110473,1219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gstm3,3,0.12233891175633639,110,9,0.0021197818037929713,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rps2_2,3,0.12181832064247963,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glt1,3,0.12147125989990845,112,9,0.0021350532579752454,1271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pabpc1,3,0.12147125989990845,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
epb41l3_2,3,0.12095066878605168,114,9,0.002289210027714073,921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acly,3,0.12060360804348053,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lars,3,0.11973595618705263,116,9,0.017506168340478044,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nrx-iv,3,0.11921536507319586,117,9,0.004301249263028548,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
comt,3,0.11886830433062469,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
moe,3,0.11886830433062469,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ywhae,3,0.11886830433062469,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC021418,3,0.11800065247419678,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cct3,3,0.11800065247419678,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tmem214,3,0.11800065247419678,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
copb1,3,0.11713300061776888,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fasn_5,3,0.11713300061776888,125,9,0.00634347411848313,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ywrd_5,3,0.11687270506084046,126,9,0.0021197818037929713,1417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC005600,3,0.11626534876134093,127,9,0.38944403056638405,21,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03962191611787344
cg1354,3,0.11574475764748421,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aldh18a1,3,0.1156579924618414,129,9,0.004348355525335058,707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC000319,3,0.11539769690491301,130,9,0.2785700838471608,27,silk,HFIP,0.6174467333333333,0.012966666666666666,426,maker-000001F-est_gff_StringTie-gene-16.1,SpiCE-LMa3,Spice-LMa,0.2984185845452178,0.24149786233221454
LASC000319,3,0.11539769690491301,130,9,0.2785700838471608,27,silk,LiBr,0.5484006333333333,0.011516666666666666,426,maker-000001F-est_gff_StringTie-gene-16.1,SpiCE-LMa3,Spice-LMa,0.2984185845452178,0.24149786233221454
LASC000319,3,0.11539769690491301,130,9,0.2785700838471608,27,silk,Urea,1.1079121333333335,0.023266666666666668,426,maker-000001F-est_gff_StringTie-gene-16.1,SpiCE-LMa3,Spice-LMa,0.2984185845452178,0.24149786233221454
ywhae_2,3,0.11453004504848512,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cadn_2,3,0.11392268874898556,132,9,0.0021197818037929713,1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vha55,3,0.11366239319205718,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cd109_4,3,0.11192708947920137,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tktl2_tktl1,3,0.11192708947920137,135,9,0.006397925300479263,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rpl-7,3,0.11105943762277343,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sptbn5,3,0.11105943762277343,137,9,0.0065520820702180925,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sars,3,0.1105388465089167,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ipgm-1,3,0.11019178576634553,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spidroin3,2,0.1093241339099176,140,9,0.38669782211036363,22,silk,HFIP,1.1961741000000001,0.004803333333333333,2350,maker-000428F-est_gff_StringTie-gene-4.8,AmSp-like2,AmSp-like,0.05246991832050258,0.023073681768943196
Spidroin3,2,0.1093241339099176,140,9,0.38669782211036363,22,silk,LiBr,0.4856085,0.00195,2350,maker-000428F-est_gff_StringTie-gene-4.8,AmSp-like2,AmSp-like,0.05246991832050258,0.023073681768943196
Spidroin3,2,0.1093241339099176,140,9,0.38669782211036363,22,silk,Urea,1.211946,0.004866666666666667,2350,maker-000428F-est_gff_StringTie-gene-4.8,AmSp-like2,AmSp-like,0.05246991832050258,0.023073681768943196
ap2b1,3,0.1093241339099176,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eef1g,2,0.10845648205348966,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meltf,3,0.10845648205348966,143,9,0.0021430902387110473,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nop58_2,3,0.10845648205348966,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cct8,3,0.10793589093963293,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rtn3-b,3,0.10793589093963293,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cndp2,3,0.1075888301970618,147,9,0.004286669869892454,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctsb_2,3,0.10758883019706177,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dpys,3,0.10672117834063385,149,9,0.008572850347314547,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
psmc2,3,0.10585352648420593,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ank3_8,3,0.10498587462777802,151,9,0.006599188332524603,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hcg,2,0.10498587462777802,152,9,0.37429182769836467,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3244426805694545
rpp-2_rplp2,2,0.10498587462777802,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uso1,2,0.10498587462777802,154,9,0.002289210027714073,962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC021266,3,0.10472557907084964,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abat,3,0.10359763165749335,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yvkc,3,0.10325057091492218,157,9,0.004286180477422095,826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pccb,3,0.10238291905849428,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fkbp7_fkbp3_fpr2,3,0.1021226235015659,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ddx1,3,0.10186232794463751,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ehd1_2,3,0.10186232794463751,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASC007830,3,0.10151526720206634,162,9,0.01752947677539612,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pkm_3,3,0.10012702423178167,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
copb2,3,0.09977996348921052,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sdha,3,0.09977996348921052,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
