gene_id,Length
maker-000217F-est_gff_StringTie-gene-2.1,1717
evm-000217F-processed-gene-4.1,3046
maker-000217F-augustus-gene-4.7,363
evm-000217F-processed-gene-4.0,2778
evm-000217F-processed-gene-5.1,1623
maker-000217F-est_gff_StringTie-gene-5.0,1938
maker-000217F-est_gff_StringTie-gene-5.2,6191
maker-000217F-est_gff_StringTie-gene-6.0,15193
maker-000217F-est_gff_StringTie-gene-6.1,1640
maker-000217F-exonerate_protein2genome-gene-7.2,1034
maker-000217F-est_gff_StringTie-gene-7.1,2122
augustus_masked-000217F-processed-gene-7.5,957
maker-000217F-est_gff_StringTie-gene-8.1,6659
maker-000217F-est_gff_StringTie-gene-8.2,427
maker-000217F-augustus-gene-9.4,2400
maker-000217F-est_gff_StringTie-gene-9.3,302
maker-000217F-est_gff_StringTie-gene-9.4,7249
maker-000217F-est_gff_StringTie-gene-9.2,769
evm-000217F-processed-gene-9.8,3420
maker-000217F-est_gff_StringTie-gene-9.6,229
evm-000217F-processed-gene-10.10,2874
maker-000217F-est_gff_StringTie-gene-10.3,360
maker-000217F-est_gff_StringTie-gene-10.0,3509
maker-000217F-est_gff_StringTie-gene-10.4,3463
maker-000217F-est_gff_StringTie-gene-10.1,253
maker-000217F-est_gff_StringTie-gene-11.0,3913
maker-000217F-est_gff_StringTie-gene-11.1,8713
maker-000217F-est_gff_StringTie-gene-12.1,14290
maker-000217F-est_gff_StringTie-gene-12.0,1694
maker-000217F-est_gff_StringTie-gene-12.2,1909
evm-000217F-processed-gene-14.26,6415
maker-000217F-est_gff_StringTie-gene-13.1,2419
maker-000217F-augustus-gene-14.12,1930
maker-000217F-est_gff_StringTie-gene-14.1,2551
maker-000217F-augustus-gene-14.14,363
maker-000217F-augustus-gene-14.15,207
maker-000217F-augustus-gene-14.16,345
maker-000217F-augustus-gene-14.20,807
maker-000217F-est_gff_StringTie-gene-14.2,515
maker-000217F-est_gff_StringTie-gene-14.3,3470
maker-000217F-est_gff_StringTie-gene-14.5,7306
maker-000217F-exonerate_protein2genome-gene-14.8,23845
maker-000687F-augustus-gene-0.52,489
augustus_masked-000687F-processed-gene-0.11,498
maker-000687F-est_gff_StringTie-gene-0.1,720
maker-000687F-est_gff_StringTie-gene-0.0,198
maker-000533F-exonerate_protein2genome-gene-0.2,367
maker-000533F-est_gff_StringTie-gene-0.0,422
maker-000533F-est_gff_StringTie-gene-0.1,1112
maker-000533F-augustus-gene-1.16,1586
augustus_masked-000533F-processed-gene-1.1,783
evm-000533F-processed-gene-1.19,1116
evm-000533F-processed-gene-1.21,8704
maker-000533F-est_gff_StringTie-gene-1.5,273
maker-000533F-est_gff_StringTie-gene-1.2,553
maker-000533F-est_gff_StringTie-gene-1.3,750
maker-000533F-est_gff_StringTie-gene-2.4,2896
maker-000533F-est_gff_StringTie-gene-2.2,3725
maker-000533F-est_gff_StringTie-gene-2.5,6067
maker-000533F-est_gff_StringTie-gene-2.3,261
maker-000533F-exonerate_protein2genome-gene-2.0,447
maker-000563F-est_gff_StringTie-gene-0.0,3535
maker-000563F-est_gff_StringTie-gene-0.1,654
maker-000563F-est_gff_StringTie-gene-1.0,6355
maker-000563F-est_gff_StringTie-gene-1.4,204
maker-000563F-est_gff_StringTie-gene-1.5,208
maker-000563F-augustus-gene-1.16,301
maker-000563F-est_gff_StringTie-gene-1.6,5577
maker-000563F-est_gff_StringTie-gene-1.1,234
maker-000563F-exonerate_protein2genome-gene-1.8,8012
maker-000563F-est_gff_StringTie-gene-1.2,339
maker-000563F-est_gff_StringTie-gene-1.3,737
maker-000344F-augustus-gene-1.0,1585
maker-000344F-est_gff_StringTie-gene-4.0,3075
augustus_masked-000344F-processed-gene-6.1,1593
maker-000344F-est_gff_StringTie-gene-7.0,282
maker-000344F-augustus-gene-8.24,495
augustus_masked-000344F-processed-gene-8.2,1131
augustus_masked-000344F-processed-gene-8.4,786
maker-000344F-est_gff_StringTie-gene-8.6,4471
maker-000344F-est_gff_StringTie-gene-8.1,1242
maker-000344F-exonerate_protein2genome-gene-8.8,664
evm-000344F-processed-gene-8.31,4548
augustus_masked-000344F-processed-gene-8.21,6270
maker-000344F-est_gff_StringTie-gene-8.5,1294
maker-000109F-est_gff_StringTie-gene-0.2,575
augustus_masked-000109F-processed-gene-0.2,513
augustus_masked-000109F-processed-gene-0.3,567
augustus_masked-000109F-processed-gene-0.4,1641
maker-000109F-exonerate_protein2genome-gene-0.0,2693
maker-000109F-est_gff_StringTie-gene-1.0,555
maker-000109F-est_gff_StringTie-gene-2.0,430
evm-000109F-processed-gene-7.6,756
maker-000109F-augustus-gene-7.0,4821
evm-000109F-processed-gene-8.8,2217
evm-000109F-processed-gene-8.9,4958
maker-000109F-augustus-gene-8.4,4300
maker-000109F-augustus-gene-8.5,3144
augustus_masked-000109F-processed-gene-9.3,456
evm-000109F-processed-gene-9.1,4267
maker-000109F-augustus-gene-9.11,1544
maker-000109F-est_gff_StringTie-gene-9.2,2323
maker-000109F-est_gff_StringTie-gene-10.1,2087
maker-000109F-est_gff_StringTie-gene-10.0,1336
maker-000109F-exonerate_protein2genome-gene-11.1,6717
maker-000109F-est_gff_StringTie-gene-11.0,1760
evm-000109F-processed-gene-11.17,4762
maker-000109F-est_gff_StringTie-gene-12.0,5027
evm-000109F-processed-gene-12.1,2158
maker-000109F-exonerate_protein2genome-gene-12.3,294
evm-000109F-processed-gene-13.5,13480
maker-000109F-est_gff_StringTie-gene-14.1,5722
maker-000109F-exonerate_protein2genome-gene-14.0,2367
evm-000109F-processed-gene-14.2,2561
maker-000109F-est_gff_StringTie-gene-14.3,338
maker-000109F-est_gff_StringTie-gene-14.5,988
maker-000109F-est_gff_StringTie-gene-16.0,8600
maker-000109F-est_gff_StringTie-gene-17.0,219
maker-000109F-est_gff_StringTie-gene-18.4,5030
maker-000109F-est_gff_StringTie-gene-18.5,4058
maker-000109F-augustus-gene-18.4,685
maker-000109F-est_gff_StringTie-gene-18.1,664
maker-000109F-est_gff_StringTie-gene-18.7,3935
maker-000109F-est_gff_StringTie-gene-18.2,886
maker-000109F-exonerate_protein2genome-gene-18.9,664
maker-000109F-est_gff_StringTie-gene-19.2,2738
maker-000109F-est_gff_StringTie-gene-19.3,865
evm-000109F-processed-gene-19.3,12883
maker-000109F-est_gff_StringTie-gene-19.1,12945
maker-000109F-est_gff_StringTie-gene-20.0,10521
maker-000109F-est_gff_StringTie-gene-20.1,12153
maker-000109F-est_gff_StringTie-gene-20.2,610
maker-000109F-est_gff_StringTie-gene-21.5,1946
evm-000109F-processed-gene-21.3,1667
maker-000109F-est_gff_StringTie-gene-21.3,536
maker-000109F-augustus-gene-21.8,1584
maker-000109F-est_gff_StringTie-gene-21.4,210
evm-000109F-processed-gene-21.0,3045
maker-000109F-est_gff_StringTie-gene-21.8,3823
augustus_masked-000109F-processed-gene-21.14,1440
evm-000109F-processed-gene-22.16,4098
maker-000109F-augustus-gene-22.11,1358
maker-000109F-est_gff_StringTie-gene-22.4,5996
maker-000109F-exonerate_protein2genome-gene-22.1,859
augustus_masked-000109F-processed-gene-23.10,1275
maker-000109F-exonerate_protein2genome-gene-23.2,1752
evm-000386F-processed-gene-0.2,6979
maker-000386F-est_gff_StringTie-gene-1.0,12590
maker-000386F-est_gff_StringTie-gene-0.1,488
maker-000386F-exonerate_protein2genome-gene-2.0,2466
maker-000386F-est_gff_StringTie-gene-2.1,3717
maker-000386F-est_gff_StringTie-gene-3.0,5886
evm-000386F-processed-gene-4.18,5973
maker-000386F-augustus-gene-4.1,4658
maker-000386F-est_gff_StringTie-gene-4.3,567
maker-000386F-exonerate_protein2genome-gene-5.0,3433
evm-000386F-processed-gene-5.1,4349
maker-000386F-est_gff_StringTie-gene-5.3,1158
maker-000386F-est_gff_StringTie-gene-6.0,5296
maker-000386F-est_gff_StringTie-gene-6.1,4074
maker-000386F-est_gff_StringTie-gene-6.2,873
maker-000386F-est_gff_StringTie-gene-6.3,462
maker-000445F-est_gff_StringTie-gene-0.0,8584
maker-000445F-est_gff_StringTie-gene-1.2,13615
maker-000445F-est_gff_StringTie-gene-2.0,2861
maker-000445F-est_gff_StringTie-gene-1.3,220
maker-000445F-est_gff_StringTie-gene-2.1,2466
maker-000445F-est_gff_StringTie-gene-3.2,286
maker-000445F-est_gff_StringTie-gene-3.0,468
maker-000445F-est_gff_StringTie-gene-3.3,2979
maker-000445F-est_gff_StringTie-gene-3.1,522
augustus_masked-000445F-processed-gene-3.9,1566
augustus_masked-000445F-processed-gene-3.5,1545
maker-000445F-est_gff_StringTie-gene-3.4,4784
augustus_masked-000445F-processed-gene-4.5,1482
augustus_masked-000445F-processed-gene-4.6,1026
augustus_masked-000445F-processed-gene-4.16,441
maker-000445F-est_gff_StringTie-gene-4.0,459
maker-000445F-exonerate_protein2genome-gene-4.3,702
maker-000445F-augustus-gene-4.24,7385
augustus_masked-000445F-processed-gene-4.11,1044
augustus_masked-000445F-processed-gene-4.22,519
maker-000391F-augustus-gene-1.1,2109
maker-000391F-est_gff_StringTie-gene-1.0,1161
maker-000391F-exonerate_protein2genome-gene-2.1,1811
maker-000391F-est_gff_StringTie-gene-2.2,457
maker-000391F-est_gff_StringTie-gene-2.5,9092
evm-000391F-processed-gene-2.10,2279
maker-000391F-est_gff_StringTie-gene-3.0,8599
maker-000391F-est_gff_StringTie-gene-4.0,1405
maker-000391F-est_gff_StringTie-gene-4.1,1447
maker-000391F-est_gff_StringTie-gene-4.2,1453
maker-000391F-est_gff_StringTie-gene-5.0,522
maker-000391F-est_gff_StringTie-gene-5.2,2531
maker-000391F-est_gff_StringTie-gene-5.3,5043
maker-000391F-est_gff_StringTie-gene-5.1,217
maker-000391F-est_gff_StringTie-gene-5.4,1782
maker-000391F-est_gff_StringTie-gene-5.5,759
maker-000391F-est_gff_StringTie-gene-6.1,1938
maker-000391F-est_gff_StringTie-gene-6.2,1595
maker-000391F-est_gff_StringTie-gene-6.3,1305
maker-000391F-est_gff_StringTie-gene-6.0,623
maker-000391F-exonerate_protein2genome-gene-6.4,597
maker-000917F-augustus-gene-0.0,3126
maker-000348F-est_gff_StringTie-gene-1.1,509
maker-000348F-est_gff_StringTie-gene-1.2,2801
maker-000348F-est_gff_StringTie-gene-1.0,1328
evm-000348F-processed-gene-2.4,5954
maker-000348F-est_gff_StringTie-gene-2.1,404
evm-000348F-processed-gene-3.6,5762
evm-000348F-processed-gene-3.7,4466
maker-000348F-augustus-gene-4.6,7572
maker-000348F-est_gff_StringTie-gene-4.1,3432
maker-000348F-augustus-gene-6.9,252
maker-000348F-est_gff_StringTie-gene-6.3,9615
maker-000348F-est_gff_StringTie-gene-6.1,1924
maker-000348F-est_gff_StringTie-gene-6.2,3972
maker-000348F-est_gff_StringTie-gene-7.0,2434
maker-000348F-est_gff_StringTie-gene-7.1,632
maker-000348F-est_gff_StringTie-gene-8.2,3432
augustus_masked-000353F-processed-gene-0.8,4113
maker-000353F-exonerate_protein2genome-gene-1.0,3188
evm-000353F-processed-gene-1.4,743
evm-000353F-processed-gene-1.3,321
maker-000353F-est_gff_StringTie-gene-2.1,1258
maker-000353F-est_gff_StringTie-gene-2.2,3206
maker-000353F-augustus-gene-2.4,3368
maker-000353F-est_gff_StringTie-gene-2.3,5353
maker-000353F-est_gff_StringTie-gene-3.0,1031
evm-000353F-processed-gene-3.10,2684
maker-000353F-exonerate_protein2genome-gene-3.6,7836
maker-000353F-exonerate_protein2genome-gene-5.2,5258
maker-000353F-augustus-gene-5.14,390
maker-000353F-est_gff_StringTie-gene-7.3,8055
maker-000353F-est_gff_StringTie-gene-5.0,285
augustus_masked-000353F-processed-gene-7.31,582
augustus_masked-000353F-processed-gene-7.32,849
maker-000353F-exonerate_protein2genome-gene-7.4,615
maker-000353F-est_gff_StringTie-gene-7.1,5760
maker-000353F-augustus-gene-7.2,1161
maker-000353F-est_gff_StringTie-gene-7.2,4610
maker-001238F-est_gff_StringTie-gene-0.0,872
maker-000487F-est_gff_StringTie-gene-1.0,306
maker-000487F-exonerate_protein2genome-gene-3.2,7504
augustus_masked-000487F-processed-gene-3.2,255
maker-000487F-est_gff_StringTie-gene-3.0,341
augustus_masked-001251F-processed-gene-0.2,1095
maker-000865F-est_gff_StringTie-gene-0.0,1026
evm-000098F-processed-gene-0.2,2218
maker-000098F-est_gff_StringTie-gene-0.1,3810
maker-000098F-augustus-gene-1.3,2664
maker-000098F-est_gff_StringTie-gene-1.1,8756
maker-000098F-exonerate_protein2genome-gene-1.0,1571
maker-000098F-est_gff_StringTie-gene-2.0,1474
maker-000098F-est_gff_StringTie-gene-2.1,3162
maker-000098F-est_gff_StringTie-gene-2.2,339
maker-000098F-est_gff_StringTie-gene-3.0,380
maker-000098F-est_gff_StringTie-gene-3.1,322
maker-000098F-augustus-gene-4.0,359
maker-000098F-est_gff_StringTie-gene-4.0,2986
maker-000098F-est_gff_StringTie-gene-5.1,2410
maker-000098F-est_gff_StringTie-gene-5.0,436
augustus_masked-000098F-processed-gene-5.6,312
maker-000098F-est_gff_StringTie-gene-5.2,3359
evm-000098F-processed-gene-8.0,6577
maker-000098F-augustus-gene-8.3,3315
maker-000098F-exonerate_protein2genome-gene-8.0,207
maker-000098F-est_gff_StringTie-gene-9.1,8753
maker-000098F-est_gff_StringTie-gene-9.0,206
evm-000098F-processed-gene-10.4,1478
maker-000098F-augustus-gene-10.0,443
maker-000098F-est_gff_StringTie-gene-10.1,1622
maker-000098F-augustus-gene-10.1,1521
maker-000098F-est_gff_StringTie-gene-10.3,1311
maker-000098F-augustus-gene-11.0,2400
maker-000098F-augustus-gene-13.18,1614
maker-000098F-est_gff_StringTie-gene-13.1,3631
maker-000098F-est_gff_StringTie-gene-13.2,2438
evm-000098F-processed-gene-13.14,607
maker-000098F-exonerate_protein2genome-gene-13.0,2901
maker-000098F-est_gff_StringTie-gene-14.0,10042
maker-000098F-est_gff_StringTie-gene-15.0,3192
maker-000098F-est_gff_StringTie-gene-15.1,5291
maker-000098F-est_gff_StringTie-gene-15.2,325
maker-000098F-est_gff_StringTie-gene-15.3,1979
maker-000098F-augustus-gene-16.0,2150
augustus_masked-000098F-processed-gene-17.0,452
maker-000098F-est_gff_StringTie-gene-17.0,343
maker-000098F-est_gff_StringTie-gene-17.1,1116
maker-000098F-est_gff_StringTie-gene-17.2,533
maker-000098F-exonerate_protein2genome-gene-18.0,3092
maker-000098F-augustus-gene-18.3,2684
maker-000098F-augustus-gene-18.4,1695
augustus_masked-000098F-processed-gene-19.0,387
maker-000098F-exonerate_protein2genome-gene-19.0,1680
maker-000098F-augustus-gene-19.7,3678
maker-000098F-est_gff_StringTie-gene-19.2,2405
evm-000098F-processed-gene-20.1,2152
maker-000098F-exonerate_protein2genome-gene-20.1,330
maker-000098F-est_gff_StringTie-gene-21.2,1788
maker-000098F-est_gff_StringTie-gene-21.1,2807
maker-000098F-est_gff_StringTie-gene-22.2,2370
maker-000098F-est_gff_StringTie-gene-22.1,1915
maker-000098F-est_gff_StringTie-gene-23.0,346
maker-000098F-est_gff_StringTie-gene-23.1,4765
maker-000098F-est_gff_StringTie-gene-23.2,1840
maker-000098F-est_gff_StringTie-gene-23.3,723
maker-000098F-est_gff_StringTie-gene-24.0,1312
maker-000098F-est_gff_StringTie-gene-24.1,508
maker-000098F-augustus-gene-25.9,785
maker-000098F-est_gff_StringTie-gene-25.1,5094
maker-000098F-est_gff_StringTie-gene-25.0,353
augustus_masked-000541F-processed-gene-1.5,288
maker-000541F-est_gff_StringTie-gene-1.6,4478
augustus_masked-000541F-processed-gene-1.15,576
maker-000541F-est_gff_StringTie-gene-1.7,591
maker-000541F-est_gff_StringTie-gene-1.3,265
maker-000541F-est_gff_StringTie-gene-1.4,5205
evm-000541F-processed-gene-1.4,2038
maker-000541F-augustus-gene-1.31,403
maker-000541F-est_gff_StringTie-gene-1.5,395
augustus_masked-000541F-processed-gene-1.23,303
evm-000541F-processed-gene-1.3,324
evm-000541F-processed-gene-1.1,456
maker-000541F-est_gff_StringTie-gene-1.10,383
maker-000172F-est_gff_StringTie-gene-0.0,7508
maker-000172F-est_gff_StringTie-gene-0.1,1421
maker-000172F-exonerate_protein2genome-gene-1.3,2806
maker-000172F-est_gff_StringTie-gene-1.0,5757
maker-000172F-est_gff_StringTie-gene-1.1,1369
augustus_masked-000172F-processed-gene-1.9,1023
maker-000172F-est_gff_StringTie-gene-1.2,2432
maker-000172F-est_gff_StringTie-gene-2.0,3051
maker-000172F-augustus-gene-4.2,9558
maker-000172F-est_gff_StringTie-gene-4.1,443
maker-000172F-exonerate_protein2genome-gene-5.5,1478
maker-000172F-est_gff_StringTie-gene-5.1,102
maker-000172F-est_gff_StringTie-gene-5.0,309
augustus_masked-000172F-processed-gene-5.6,330
maker-000172F-exonerate_protein2genome-gene-9.11,5982
maker-000172F-est_gff_StringTie-gene-11.1,521
maker-000172F-est_gff_StringTie-gene-11.0,472
maker-000172F-augustus-gene-11.11,3121
augustus_masked-000172F-processed-gene-11.2,728
augustus_masked-000172F-processed-gene-11.8,720
maker-000172F-exonerate_protein2genome-gene-11.6,3285
evm-000172F-processed-gene-12.3,1994
maker-000172F-est_gff_StringTie-gene-12.5,6338
maker-000172F-exonerate_protein2genome-gene-12.1,2982
maker-000172F-augustus-gene-12.13,2215
maker-000172F-augustus-gene-12.14,5790
maker-000172F-est_gff_StringTie-gene-13.1,6189
evm-000172F-processed-gene-13.5,9617
maker-000172F-est_gff_StringTie-gene-14.1,6187
maker-000172F-est_gff_StringTie-gene-14.2,4818
evm-000172F-processed-gene-14.4,1544
maker-000172F-est_gff_StringTie-gene-14.3,4485
evm-000172F-processed-gene-14.0,924
evm-000172F-processed-gene-17.0,11593
maker-000172F-est_gff_StringTie-gene-16.0,224
maker-000172F-est_gff_StringTie-gene-17.0,6524
maker-000253F-est_gff_StringTie-gene-0.1,1289
evm-000253F-processed-gene-0.6,7977
augustus_masked-000253F-processed-gene-1.6,1539
maker-000253F-est_gff_StringTie-gene-1.3,4734
maker-000253F-est_gff_StringTie-gene-1.1,6944
maker-000253F-est_gff_StringTie-gene-1.4,2477
maker-000253F-augustus-gene-2.7,2554
maker-000253F-exonerate_protein2genome-gene-2.1,4732
evm-000253F-processed-gene-5.3,9970
evm-000253F-processed-gene-5.1,1050
maker-000253F-est_gff_StringTie-gene-4.1,260
maker-000253F-est_gff_StringTie-gene-4.2,451
maker-000253F-exonerate_protein2genome-gene-5.2,663
maker-000253F-exonerate_protein2genome-gene-6.1,444
maker-000253F-exonerate_protein2genome-gene-6.0,444
maker-000253F-est_gff_StringTie-gene-8.0,266
augustus_masked-000253F-processed-gene-9.7,3405
maker-000253F-est_gff_StringTie-gene-9.1,1115
maker-000253F-est_gff_StringTie-gene-9.0,4747
maker-000253F-exonerate_protein2genome-gene-10.4,333
maker-000253F-est_gff_StringTie-gene-10.0,409
evm-000253F-processed-gene-10.0,1735
maker-000253F-est_gff_StringTie-gene-10.3,740
evm-000253F-processed-gene-10.2,1566
maker-000253F-est_gff_StringTie-gene-11.1,4655
augustus_masked-000253F-processed-gene-11.4,4110
maker-000253F-exonerate_protein2genome-gene-11.0,1965
maker-000253F-est_gff_StringTie-gene-11.3,2907
maker-000253F-exonerate_protein2genome-gene-12.0,6272
maker-000253F-exonerate_protein2genome-gene-12.2,3660
maker-000253F-augustus-gene-12.4,4456
maker-000253F-est_gff_StringTie-gene-12.6,6650
maker-000253F-exonerate_protein2genome-gene-12.4,2166
maker-000253F-exonerate_protein2genome-gene-12.1,6582
maker-000422F-exonerate_protein2genome-gene-1.1,1894
evm-000422F-processed-gene-2.20,3434
maker-000422F-augustus-gene-2.16,663
evm-000422F-processed-gene-2.18,3739
maker-000422F-est_gff_StringTie-gene-2.2,9421
evm-000422F-processed-gene-3.1,11205
maker-000422F-est_gff_StringTie-gene-3.2,2685
evm-000422F-processed-gene-3.2,791
augustus_masked-000422F-processed-gene-3.24,2898
evm-000422F-processed-gene-4.1,3028
augustus_masked-000422F-processed-gene-4.8,879
maker-000422F-exonerate_protein2genome-gene-4.1,1572
maker-000422F-est_gff_StringTie-gene-4.5,6254
maker-000422F-est_gff_StringTie-gene-5.0,16677
evm-000422F-processed-gene-5.0,4648
maker-000063F-est_gff_StringTie-gene-0.0,266
maker-000063F-est_gff_StringTie-gene-1.0,3489
maker-000063F-est_gff_StringTie-gene-2.1,210
maker-000063F-est_gff_StringTie-gene-2.0,258
maker-000063F-est_gff_StringTie-gene-3.0,2898
maker-000063F-est_gff_StringTie-gene-6.0,5980
maker-000063F-est_gff_StringTie-gene-7.1,12625
evm-000063F-processed-gene-7.0,4601
maker-000063F-augustus-gene-8.9,357
maker-000063F-exonerate_protein2genome-gene-7.3,1623
maker-000063F-augustus-gene-8.11,6575
maker-000063F-est_gff_StringTie-gene-8.4,2198
maker-000063F-est_gff_StringTie-gene-8.1,239
maker-000063F-est_gff_StringTie-gene-8.2,448
maker-000063F-est_gff_StringTie-gene-9.0,9518
maker-000063F-exonerate_protein2genome-gene-9.2,10899
maker-000063F-est_gff_StringTie-gene-10.1,9009
maker-000063F-est_gff_StringTie-gene-10.2,4709
maker-000063F-est_gff_StringTie-gene-10.0,3095
maker-000063F-augustus-gene-11.0,855
maker-000063F-est_gff_StringTie-gene-11.0,5516
evm-000063F-processed-gene-11.10,2638
maker-000063F-est_gff_StringTie-gene-12.0,2486
maker-000063F-est_gff_StringTie-gene-12.1,6323
maker-000063F-est_gff_StringTie-gene-15.0,13899
evm-000063F-processed-gene-15.8,5417
maker-000063F-est_gff_StringTie-gene-16.1,3167
maker-000063F-est_gff_StringTie-gene-16.3,5148
maker-000063F-exonerate_protein2genome-gene-16.0,1846
maker-000063F-augustus-gene-16.10,1373
evm-000063F-processed-gene-16.12,985
maker-000063F-est_gff_StringTie-gene-17.1,345
maker-000063F-est_gff_StringTie-gene-17.0,257
maker-000063F-est_gff_StringTie-gene-19.1,5015
maker-000063F-exonerate_protein2genome-gene-19.2,1347
