gene_id	geneName	Chr	Start	End
maker-000076F-est_gff_StringTie-gene-16.5	ngdn-b_ngdn-a	000076F	3939037	3983872
maker-000076F-augustus-gene-16.18	emc4	000076F	3984114	3998577
maker-000076F-est_gff_StringTie-gene-17.0	NA	000076F	4089028	4111902
maker-000076F-augustus-gene-18.0	NA	000076F	4316231	4319351
maker-000076F-est_gff_StringTie-gene-18.0	runx1t1	000076F	4316304	4425448
maker-000076F-est_gff_StringTie-gene-19.0	ush	000076F	4487210	4706009
augustus_masked-000076F-processed-gene-21.1	NA	000076F	5122200	5122778
augustus_masked-000076F-processed-gene-21.2	NA	000076F	5126123	5126674
augustus_masked-000076F-processed-gene-21.3	NA	000076F	5130899	5131363
augustus_masked-000076F-processed-gene-21.7	NA	000076F	5142040	5142465
augustus_masked-000076F-processed-gene-21.8	NA	000076F	5158076	5158540
augustus_masked-000076F-processed-gene-21.9	NA	000076F	5170247	5170732
augustus_masked-000076F-processed-gene-21.4	NA	000076F	5179119	5179583
augustus_masked-000076F-processed-gene-22.5	NA	000076F	5192720	5193214
augustus_masked-000076F-processed-gene-22.3	NA	000076F	5220240	5221217
augustus_masked-000076F-processed-gene-22.4	NA	000076F	5228362	5228856
augustus_masked-000076F-processed-gene-22.6	NA	000076F	5258663	5259184
augustus_masked-000076F-processed-gene-22.12	NA	000076F	5283482	5284063
augustus_masked-000076F-processed-gene-22.8	NA	000076F	5291237	5291830
maker-000076F-est_gff_StringTie-gene-22.0	NA	000076F	5302083	5313930
augustus_masked-000076F-processed-gene-22.10	NA	000076F	5324449	5325030
augustus_masked-000076F-processed-gene-22.13	NA	000076F	5340475	5340900
augustus_masked-000076F-processed-gene-22.14	NA	000076F	5346617	5347165
maker-000076F-est_gff_StringTie-gene-24.0	trhr	000076F	5403419	5902876
maker-000076F-est_gff_StringTie-gene-26.1	NA	000076F	6166236	6167743
maker-000076F-est_gff_StringTie-gene-26.0	NA	000076F	6198525	6202868
augustus_masked-000076F-processed-gene-28.5	chrac1_2	000076F	6413714	6414004
maker-000076F-est_gff_StringTie-gene-27.0	NA	000076F	6429270	6616725
maker-000076F-exonerate_protein2genome-gene-28.5	slc7a6_slc7a8_slc7a5p1	000076F	6478581	6621757
evm-000076F-processed-gene-28.21	slc7a8	000076F	6624916	6650211
maker-000076F-est_gff_StringTie-gene-28.2	NA	000076F	6675083	6698854
maker-000076F-exonerate_protein2genome-gene-28.6	mthfsd	000076F	6711259	6729418
maker-000076F-est_gff_StringTie-gene-28.4	NA	000076F	6772580	6800156
maker-000076F-est_gff_StringTie-gene-29.1	cpa2_3	000076F	6820608	6912221
maker-000076F-exonerate_protein2genome-gene-29.4	dusp3	000076F	6944927	6959179
maker-000076F-est_gff_StringTie-gene-29.3	pigu	000076F	6961457	7028949
maker-000076F-est_gff_StringTie-gene-29.0	hsf4	000076F	7029173	7099608
maker-000076F-est_gff_StringTie-gene-30.0	NA	000076F	7115726	7120526
maker-000076F-exonerate_protein2genome-gene-30.13	NA	000076F	7167774	7172891
augustus_masked-000076F-processed-gene-30.34	znf112_4	000076F	7188990	7192214
maker-000076F-exonerate_protein2genome-gene-30.15	scsalpha1_os07g0577700	000076F	7195382	7223191
maker-000076F-est_gff_StringTie-gene-30.3	NA	000076F	7229647	7233608
maker-000076F-augustus-gene-30.4	NA	000076F	7241599	7244224
maker-000076F-augustus-gene-30.5	NA	000076F	7256282	7258742
maker-000076F-augustus-gene-30.6	NA	000076F	7271656	7274425
augustus_masked-000076F-processed-gene-30.42	NA	000076F	7280966	7283516
maker-000076F-augustus-gene-30.8	NA	000076F	7292872	7310651
maker-000076F-est_gff_StringTie-gene-30.6	NA	000076F	7312436	7315449
maker-000076F-est_gff_StringTie-gene-30.7	NA	000076F	7329350	7332647
maker-000076F-augustus-gene-30.11	NA	000076F	7343046	7346024
augustus_masked-000076F-processed-gene-30.47	NA	000076F	7356247	7359128
maker-000076F-est_gff_StringTie-gene-30.8	NA	000076F	7368273	7371309
maker-000076F-est_gff_StringTie-gene-30.9	NA	000076F	7406312	7410184
maker-000076F-augustus-gene-30.15	NA	000076F	7420787	7423454
maker-000076F-augustus-gene-30.16	NA	000076F	7436476	7439041
maker-000076F-est_gff_StringTie-gene-30.10	NA	000076F	7445179	7446045
maker-000076F-augustus-gene-30.18	NA	000076F	7457203	7458615
maker-000076F-exonerate_protein2genome-gene-30.18	NA	000076F	7477602	7553523
maker-000076F-augustus-gene-30.26	NA	000076F	7564395	7567795
maker-000076F-augustus-gene-30.27	NA	000076F	7589967	7591133
maker-000076F-est_gff_StringTie-gene-30.11	NA	000076F	7604041	7606437
maker-000076F-augustus-gene-30.29	NA	000076F	7621390	7625773
maker-000076F-est_gff_StringTie-gene-30.12	NA	000076F	7640154	7642909
maker-000217F-est_gff_StringTie-gene-1.1	pde7b	000217F	42174	224512
maker-000217F-exonerate_protein2genome-gene-1.0	nans	000217F	246414	283465
maker-000217F-est_gff_StringTie-gene-1.3	prr5	000217F	293571	323963
maker-000217F-est_gff_StringTie-gene-2.0	inpp4a	000217F	372032	478491
evm-000217F-processed-gene-2.1	nudt8_2	000217F	490241	517334
maker-000217F-augustus-gene-2.13	NA	000217F	563862	573451
maker-000217F-est_gff_StringTie-gene-3.0	ft_2	000217F	598593	854480
maker-000217F-est_gff_StringTie-gene-2.1	NA	000217F	628817	633615
evm-000217F-processed-gene-4.1	NA	000217F	894809	913790
maker-000217F-augustus-gene-4.7	NA	000217F	915470	925410
evm-000217F-processed-gene-4.0	cnbp	000217F	1028357	1051410
evm-000217F-processed-gene-5.1	ccnq	000217F	1116854	1178516
maker-000217F-est_gff_StringTie-gene-5.0	atg13	000217F	1188753	1232195
maker-000217F-est_gff_StringTie-gene-5.2	nfxl1	000217F	1216100	1325891
maker-000217F-est_gff_StringTie-gene-6.0	cel_myd88	000217F	1340400	1443301
maker-000217F-est_gff_StringTie-gene-6.1	dnajc4	000217F	1447267	1478060
maker-000217F-exonerate_protein2genome-gene-7.2	gl_3	000217F	1652964	1656216
maker-000217F-est_gff_StringTie-gene-7.1	ube2j1	000217F	1680946	1718990
augustus_masked-000217F-processed-gene-7.5	sp5	000217F	1812493	1827658
maker-000217F-est_gff_StringTie-gene-8.1	zk1073.1	000217F	1903721	2067807
maker-000217F-est_gff_StringTie-gene-8.2	NA	000217F	1971101	1979590
maker-000217F-augustus-gene-9.4	dym	000217F	2092523	2116044
maker-000217F-est_gff_StringTie-gene-9.3	NA	000217F	2099016	2119874
maker-000217F-est_gff_StringTie-gene-9.4	exc-4	000217F	2130009	2176742
maker-000217F-est_gff_StringTie-gene-9.2	NA	000217F	2212993	2268866
evm-000217F-processed-gene-9.8	zfs1	000217F	2242776	2261512
maker-000217F-est_gff_StringTie-gene-9.6	NA	000217F	2267708	2268113
evm-000217F-processed-gene-10.10	plaa	000217F	2304115	2351861
maker-000217F-est_gff_StringTie-gene-10.3	NA	000217F	2362100	2479469
maker-000217F-est_gff_StringTie-gene-10.0	NA	000217F	2456319	2499794
maker-000217F-est_gff_StringTie-gene-10.4	NA	000217F	2530010	2549867
maker-000217F-est_gff_StringTie-gene-10.1	NA	000217F	2546511	2549705
maker-000217F-est_gff_StringTie-gene-11.0	NA	000217F	2558421	2569193
maker-000217F-est_gff_StringTie-gene-11.1	NA	000217F	2592976	2662713
maker-000217F-est_gff_StringTie-gene-12.1	stk10	000217F	2712367	2809685
maker-000217F-est_gff_StringTie-gene-12.0	trdmt1	000217F	2826073	2877399
maker-000217F-est_gff_StringTie-gene-12.2	pnlip_4	000217F	2879013	2918998
evm-000217F-processed-gene-14.26	NA	000217F	2958113	3035012
maker-000217F-est_gff_StringTie-gene-13.1	NA	000217F	3037593	3138542
maker-000217F-augustus-gene-14.12	maob_3	000217F	3165111	3255182
maker-000217F-est_gff_StringTie-gene-14.1	mao_3	000217F	3281066	3334879
maker-000217F-augustus-gene-14.14	maoa_4	000217F	3355013	3366027
maker-000217F-augustus-gene-14.15	maob_2	000217F	3367875	3373898
maker-000217F-augustus-gene-14.16	maob_4	000217F	3376036	3384395
maker-000217F-augustus-gene-14.20	NA	000217F	3386509	3421020
maker-000217F-est_gff_StringTie-gene-14.2	NA	000217F	3411637	3419503
maker-000217F-est_gff_StringTie-gene-14.3	NA	000217F	3426017	3489681
maker-000217F-est_gff_StringTie-gene-14.5	rnf41_2	000217F	3498323	3539565
maker-000217F-exonerate_protein2genome-gene-14.8	kpna4	000217F	3582672	3641563
maker-000687F-augustus-gene-0.52	NA	000687F	6985	8670
augustus_masked-000687F-processed-gene-0.11	NA	000687F	32007	32504
maker-000687F-est_gff_StringTie-gene-0.0	NA	000687F	40042	41044
maker-000687F-est_gff_StringTie-gene-0.1	NA	000687F	39982	133083
maker-000533F-exonerate_protein2genome-gene-0.2	zfp62_znf274	000533F	3821	4187
maker-000533F-est_gff_StringTie-gene-0.0	NA	000533F	33448	72429
maker-000533F-est_gff_StringTie-gene-0.1	NA	000533F	115088	130655
maker-000533F-augustus-gene-1.16	rragc	000533F	146420	163269
augustus_masked-000533F-processed-gene-1.1	pgbd4_12	000533F	164525	166488
evm-000533F-processed-gene-1.19	rragd	000533F	168357	178755
evm-000533F-processed-gene-1.21	ago3	000533F	179130	193234
maker-000533F-est_gff_StringTie-gene-1.5	NA	000533F	246364	265616
maker-000533F-est_gff_StringTie-gene-1.2	NA	000533F	254048	268551
maker-000533F-est_gff_StringTie-gene-1.3	NA	000533F	371567	381204
maker-000533F-est_gff_StringTie-gene-2.4	octbeta1r	000533F	391868	415318
maker-000533F-est_gff_StringTie-gene-2.2	NA	000533F	461356	582271
maker-000533F-est_gff_StringTie-gene-2.5	rexo1	000533F	631423	693860
maker-000533F-est_gff_StringTie-gene-2.3	NA	000533F	706795	717537
maker-000533F-exonerate_protein2genome-gene-2.0	eff_8	000533F	731481	731927
maker-000563F-est_gff_StringTie-gene-0.0	nrf-6_7	000563F	70465	142140
maker-000563F-est_gff_StringTie-gene-0.1	NA	000563F	146209	159707
maker-000563F-est_gff_StringTie-gene-1.0	nrf-6_27	000563F	197535	352805
maker-000563F-est_gff_StringTie-gene-1.4	NA	000563F	309471	311239
maker-000563F-est_gff_StringTie-gene-1.5	NA	000563F	311291	331368
maker-000563F-augustus-gene-1.16	far1_3	000563F	339992	346758
maker-000563F-est_gff_StringTie-gene-1.6	orct_19	000563F	356702	483508
maker-000563F-est_gff_StringTie-gene-1.1	NA	000563F	425917	430494
maker-000563F-exonerate_protein2genome-gene-1.8	kpna6	000563F	488051	533031
maker-000563F-est_gff_StringTie-gene-1.2	NA	000563F	505567	505939
maker-000563F-est_gff_StringTie-gene-1.3	ccdc58	000563F	531883	559436
maker-000344F-augustus-gene-1.0	nlgn4x_8	000344F	180724	200343
maker-000344F-est_gff_StringTie-gene-4.0	nlgn4x_nlgn1	000344F	750678	986747
augustus_masked-000344F-processed-gene-6.1	spop_63	000344F	1427983	1429575
maker-000344F-est_gff_StringTie-gene-7.0	NA	000344F	1745071	1758681
maker-000344F-augustus-gene-8.24	med21_3	000344F	1885693	1891009
augustus_masked-000344F-processed-gene-8.2	actr1b	000344F	1891053	1892183
augustus_masked-000344F-processed-gene-8.4	yipf5	000344F	1904265	1905050
maker-000344F-est_gff_StringTie-gene-8.6	skap2	000344F	1913798	1961847
maker-000344F-est_gff_StringTie-gene-8.1	NA	000344F	1928193	1955731
maker-000344F-exonerate_protein2genome-gene-8.8	rragc_2	000344F	2060368	2077792
evm-000344F-processed-gene-8.31	grn_7	000344F	2137426	2148885
augustus_masked-000344F-processed-gene-8.21	heatr1	000344F	2161337	2167606
maker-000344F-est_gff_StringTie-gene-8.5	lrig3_7	000344F	2228096	2240522
maker-000109F-est_gff_StringTie-gene-0.2	NA	000109F	52370	75490
augustus_masked-000109F-processed-gene-0.2	NA	000109F	84571	85083
augustus_masked-000109F-processed-gene-0.3	NA	000109F	85318	85884
augustus_masked-000109F-processed-gene-0.4	NA	000109F	85909	87549
maker-000109F-exonerate_protein2genome-gene-0.0	NA	000109F	130412	159417
maker-000109F-est_gff_StringTie-gene-1.0	NA	000109F	271424	323696
maker-000109F-est_gff_StringTie-gene-2.0	NA	000109F	451649	539127
evm-000109F-processed-gene-7.6	NA	000109F	1659374	1683279
maker-000109F-augustus-gene-7.0	NA	000109F	1714018	1748460
evm-000109F-processed-gene-8.8	NA	000109F	1777482	1851808
evm-000109F-processed-gene-8.9	napb	000109F	1912561	1923808
maker-000109F-augustus-gene-8.4	t_5	000109F	1932419	1958714
maker-000109F-augustus-gene-8.5	dkey-242e21.4	000109F	1993831	2010625
augustus_masked-000109F-processed-gene-9.3	NA	000109F	2052137	2094635
evm-000109F-processed-gene-9.1	slc6a3_2	000109F	2153088	2233956
maker-000109F-augustus-gene-9.11	gdap1	000109F	2251222	2266981
maker-000109F-est_gff_StringTie-gene-9.2	nfatc2ip	000109F	2266870	2315031
maker-000109F-est_gff_StringTie-gene-10.1	rbm34	000109F	2417755	2445816
maker-000109F-est_gff_StringTie-gene-10.0	atp5md_2	000109F	2445772	2452775
maker-000109F-exonerate_protein2genome-gene-11.1	mec-2	000109F	2463087	2593764
maker-000109F-est_gff_StringTie-gene-11.0	iah1	000109F	2669296	2705167
evm-000109F-processed-gene-11.17	NA	000109F	2745037	2791595
maker-000109F-est_gff_StringTie-gene-12.0	acp7_2	000109F	2854868	2943596
evm-000109F-processed-gene-12.1	mkks	000109F	2978564	2995111
maker-000109F-exonerate_protein2genome-gene-12.3	chrac1	000109F	2997584	2997877
evm-000109F-processed-gene-13.5	aplf	000109F	3033860	3127664
maker-000109F-est_gff_StringTie-gene-14.1	ylpm1	000109F	3153940	3291808
maker-000109F-exonerate_protein2genome-gene-14.0	prmt1-a_prmt1	000109F	3316243	3353012
evm-000109F-processed-gene-14.2	tfcp2_2	000109F	3352952	3399832
maker-000109F-est_gff_StringTie-gene-14.3	NA	000109F	3363072	3363535
maker-000109F-est_gff_StringTie-gene-14.5	tspan11_2	000109F	3422351	3446638
maker-000109F-est_gff_StringTie-gene-16.0	pros	000109F	3522179	3916979
maker-000109F-est_gff_StringTie-gene-17.0	NA	000109F	4088605	4089498
maker-000109F-est_gff_StringTie-gene-18.4	samd4a	000109F	4146306	4248689
maker-000109F-est_gff_StringTie-gene-18.5	nipsnap	000109F	4264112	4313998
maker-000109F-augustus-gene-18.4	rpl27a_2	000109F	4297852	4307154
maker-000109F-est_gff_StringTie-gene-18.1	ago4_2	000109F	4314091	4323521
maker-000109F-est_gff_StringTie-gene-18.7	urh2	000109F	4328806	4357519
maker-000109F-est_gff_StringTie-gene-18.2	NA	000109F	4373958	4377976
maker-000109F-exonerate_protein2genome-gene-18.9	lsm6	000109F	4395491	4410816
maker-000109F-est_gff_StringTie-gene-19.2	gria2	000109F	4413202	4526203
maker-000109F-est_gff_StringTie-gene-19.3	pfdn5_2	000109F	4535533	4549809
evm-000109F-processed-gene-19.3	pcbp3_2	000109F	4559188	4636856
maker-000109F-est_gff_StringTie-gene-19.1	pogz	000109F	4638536	4672670
maker-000109F-est_gff_StringTie-gene-20.0	slc34a2	000109F	4763831	4836215
maker-000109F-est_gff_StringTie-gene-20.1	myo5a	000109F	4864604	4937881
maker-000109F-est_gff_StringTie-gene-20.2	NA	000109F	4950300	4950996
maker-000109F-est_gff_StringTie-gene-21.5	NA	000109F	4966272	4993699
evm-000109F-processed-gene-21.3	slc35b1	000109F	5019731	5036020
maker-000109F-est_gff_StringTie-gene-21.3	NA	000109F	5051426	5061809
maker-000109F-augustus-gene-21.8	NA	000109F	5067105	5071855
maker-000109F-est_gff_StringTie-gene-21.4	NA	000109F	5076019	5076582
evm-000109F-processed-gene-21.0	nudt21	000109F	5095251	5112547
maker-000109F-est_gff_StringTie-gene-21.8	mgmt_mkrn1	000109F	5117161	5168774
augustus_masked-000109F-processed-gene-21.14	pomgnt2	000109F	5169694	5171133
evm-000109F-processed-gene-22.16	rab2a	000109F	5186612	5228054
maker-000109F-augustus-gene-22.11	dtd1	000109F	5255893	5277329
maker-000109F-est_gff_StringTie-gene-22.4	celf3	000109F	5277938	5318772
maker-000109F-exonerate_protein2genome-gene-22.1	evx2	000109F	5380119	5399100
augustus_masked-000109F-processed-gene-23.10	znf235_15	000109F	5814393	5815667
maker-000109F-exonerate_protein2genome-gene-23.2	znf569_znf84	000109F	5826252	5839215
evm-000386F-processed-gene-0.2	nckipsd	000386F	13517	69179
maker-000386F-est_gff_StringTie-gene-1.0	wdfy3	000386F	69545	329773
maker-000386F-est_gff_StringTie-gene-0.1	NA	000386F	129585	130567
maker-000386F-exonerate_protein2genome-gene-2.0	atad3-b	000386F	379279	461986
maker-000386F-est_gff_StringTie-gene-2.1	notch3_ltbp1	000386F	473784	583772
maker-000386F-est_gff_StringTie-gene-3.0	notch3_tnxb	000386F	599220	785837
evm-000386F-processed-gene-4.18	mrc1_2	000386F	786806	889086
maker-000386F-augustus-gene-4.1	nr2e1	000386F	992128	1027776
maker-000386F-est_gff_StringTie-gene-4.3	NA	000386F	1105210	1105862
maker-000386F-exonerate_protein2genome-gene-5.0	cmpk_2	000386F	1116907	1160450
evm-000386F-processed-gene-5.1	cg12084_2	000386F	1174471	1232990
maker-000386F-est_gff_StringTie-gene-5.3	pigf	000386F	1261789	1271510
maker-000386F-est_gff_StringTie-gene-6.0	ced-11_nudt9_trpm2	000386F	1337092	1463663
maker-000386F-est_gff_StringTie-gene-6.1	tnxb_9	000386F	1481287	1605791
maker-000386F-est_gff_StringTie-gene-6.2	ush2a_pear1	000386F	1707938	1720126
maker-000386F-est_gff_StringTie-gene-6.3	NA	000386F	1725770	1731673
maker-000445F-est_gff_StringTie-gene-0.0	abcc1_3	000445F	16268	140726
maker-000445F-est_gff_StringTie-gene-1.2	mkrn1_arhgap1	000445F	193624	254066
maker-000445F-est_gff_StringTie-gene-2.0	spop_40	000445F	259997	418261
maker-000445F-est_gff_StringTie-gene-1.3	NA	000445F	363757	395618
maker-000445F-est_gff_StringTie-gene-2.1	fj	000445F	483752	552835
maker-000445F-est_gff_StringTie-gene-3.2	NA	000445F	714247	716342
maker-000445F-est_gff_StringTie-gene-3.0	NA	000445F	716600	754521
maker-000445F-est_gff_StringTie-gene-3.3	NA	000445F	728350	779729
maker-000445F-est_gff_StringTie-gene-3.1	NA	000445F	782833	788326
augustus_masked-000445F-processed-gene-3.9	spop	000445F	789312	790877
augustus_masked-000445F-processed-gene-3.5	spop-b_19	000445F	832141	833685
maker-000445F-est_gff_StringTie-gene-3.4	rrad	000445F	853997	875535
augustus_masked-000445F-processed-gene-4.5	spop_38	000445F	917471	918952
augustus_masked-000445F-processed-gene-4.6	NA	000445F	922154	923179
augustus_masked-000445F-processed-gene-4.16	NA	000445F	966490	966930
maker-000445F-est_gff_StringTie-gene-4.0	NA	000445F	1024209	1029185
maker-000445F-exonerate_protein2genome-gene-4.3	rpl23_rpl23-a	000445F	1042455	1056052
maker-000445F-augustus-gene-4.24	dlgap1	000445F	1071942	1118735
augustus_masked-000445F-processed-gene-4.11	NA	000445F	1211074	1212117
augustus_masked-000445F-processed-gene-4.22	NA	000445F	1259656	1271447
maker-000391F-augustus-gene-1.1	NA	000391F	304342	307112
maker-000391F-est_gff_StringTie-gene-1.0	btbd6_7	000391F	374334	391611
maker-000391F-exonerate_protein2genome-gene-2.1	slc35f6	000391F	391926	415903
maker-000391F-est_gff_StringTie-gene-2.2	NA	000391F	468484	498621
maker-000391F-est_gff_StringTie-gene-2.5	fbxw2	000391F	510259	546853
evm-000391F-processed-gene-2.10	clpx	000391F	546972	599157
maker-000391F-est_gff_StringTie-gene-3.0	rpgrip1l	000391F	609396	734454
maker-000391F-est_gff_StringTie-gene-4.0	sec14l4_3	000391F	838193	887427
maker-000391F-est_gff_StringTie-gene-4.1	sec14l2_18	000391F	915140	991039
maker-000391F-est_gff_StringTie-gene-4.2	sec14l2_16	000391F	1027496	1071268
maker-000391F-est_gff_StringTie-gene-5.0	NA	000391F	1078360	1188040
maker-000391F-est_gff_StringTie-gene-5.2	sec14l2_24	000391F	1107763	1173067
maker-000391F-est_gff_StringTie-gene-5.3	sec14l2_21	000391F	1212493	1261420
maker-000391F-est_gff_StringTie-gene-5.1	NA	000391F	1264589	1265470
maker-000391F-est_gff_StringTie-gene-5.4	sec14l2_17	000391F	1280030	1310656
maker-000391F-est_gff_StringTie-gene-5.5	sec14l4_5	000391F	1323104	1347019
maker-000391F-est_gff_StringTie-gene-6.1	sec14l4	000391F	1391917	1439992
maker-000391F-est_gff_StringTie-gene-6.2	sec14l4_4	000391F	1444811	1473638
maker-000391F-est_gff_StringTie-gene-6.3	wun	000391F	1480345	1514521
maker-000391F-est_gff_StringTie-gene-6.0	NA	000391F	1537657	1547793
maker-000391F-exonerate_protein2genome-gene-6.4	rasd2	000391F	1550822	1551418
maker-000917F-augustus-gene-0.0	NA	000917F	30350	46022
maker-000348F-est_gff_StringTie-gene-1.1	NA	000348F	222488	225967
maker-000348F-est_gff_StringTie-gene-1.2	NA	000348F	239501	374439
maker-000348F-est_gff_StringTie-gene-1.0	dram1_4	000348F	359066	377740
evm-000348F-processed-gene-2.4	ft	000348F	380814	500814
maker-000348F-est_gff_StringTie-gene-2.1	NA	000348F	575351	627149
evm-000348F-processed-gene-3.6	NA	000348F	684141	718420
evm-000348F-processed-gene-3.7	sidt1	000348F	717139	839774
maker-000348F-augustus-gene-4.6	tor1b_2	000348F	863999	938697
maker-000348F-est_gff_StringTie-gene-4.1	ywad	000348F	956204	1034028
maker-000348F-augustus-gene-6.9	NA	000348F	1114044	1121580
maker-000348F-est_gff_StringTie-gene-6.3	osa	000348F	1162803	1392805
maker-000348F-est_gff_StringTie-gene-6.1	NA	000348F	1399453	1412000
maker-000348F-est_gff_StringTie-gene-6.2	tmem272	000348F	1562664	1598838
maker-000348F-est_gff_StringTie-gene-7.0	gol	000348F	1598401	1714047
maker-000348F-est_gff_StringTie-gene-7.1	NA	000348F	1731834	1761082
maker-000348F-est_gff_StringTie-gene-8.2	lmbrd2	000348F	1774766	1859010
augustus_masked-000353F-processed-gene-0.8	klf17_3	000353F	90468	115380
maker-000353F-exonerate_protein2genome-gene-1.0	zfp26_znf845_znf234_znf91_znf836	000353F	185941	244276
evm-000353F-processed-gene-1.4	akap7	000353F	299083	329100
evm-000353F-processed-gene-1.3	NA	000353F	383049	393045
maker-000353F-est_gff_StringTie-gene-2.1	akap7_4	000353F	429778	444798
maker-000353F-est_gff_StringTie-gene-2.2	nsmaf	000353F	460304	526247
maker-000353F-augustus-gene-2.4	gid4	000353F	529840	549973
maker-000353F-est_gff_StringTie-gene-2.3	tom1	000353F	550205	605737
maker-000353F-est_gff_StringTie-gene-3.0	akap7_2	000353F	634130	653283
evm-000353F-processed-gene-3.10	dcaf4l1	000353F	733136	742248
maker-000353F-exonerate_protein2genome-gene-3.6	zip	000353F	759210	852925
maker-000353F-exonerate_protein2genome-gene-5.2	NA	000353F	907266	955961
maker-000353F-augustus-gene-5.14	NA	000353F	1159175	1199289
maker-000353F-est_gff_StringTie-gene-7.3	caskin2_caskin1	000353F	1205293	1657411
maker-000353F-est_gff_StringTie-gene-5.0	NA	000353F	1231144	1231564
augustus_masked-000353F-processed-gene-7.31	NA	000353F	1709828	1710409
augustus_masked-000353F-processed-gene-7.32	spopla	000353F	1710440	1711288
maker-000353F-exonerate_protein2genome-gene-7.4	znf271_17	000353F	1805163	1805777
maker-000353F-est_gff_StringTie-gene-7.1	lrp2	000353F	1826769	1866687
maker-000353F-augustus-gene-7.2	lrp1b_2	000353F	1902394	1954042
maker-000353F-est_gff_StringTie-gene-7.2	lrp2_yl_lrp4	000353F	2005543	2124970
maker-001238F-est_gff_StringTie-gene-0.0	zc2hc1a_4	001238F	31612	40227
maker-000487F-est_gff_StringTie-gene-1.0	NA	000487F	291776	311077
maker-000487F-exonerate_protein2genome-gene-3.2	tob2	000487F	778958	808248
augustus_masked-000487F-processed-gene-3.2	NA	000487F	787362	850970
maker-000487F-est_gff_StringTie-gene-3.0	NA	000487F	819334	821526
augustus_masked-001251F-processed-gene-0.2	mm_2	001251F	9834	10928
