gene_id	geneName	Chr	Start	End	product	uniprot_id
augustus_masked-000076F-processed-gene-30.34	znf112_4	000076F	7188990	7192214	Zinc finger protein 112	Q9UJU3
maker-000076F-exonerate_protein2genome-gene-30.15	scsalpha1_os07g0577700	000076F	7195382	7223191	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha%2C mitochondrial,Succinate--CoA ligase [ADP-forming] subunit alpha%2C mitochondrial	Q94522,Q6ZL94
maker-000076F-est_gff_StringTie-gene-30.3	NA	000076F	7229647	7233608	hypothetical protein	NA
maker-000076F-augustus-gene-30.4	NA	000076F	7241599	7244224	hypothetical protein	NA
maker-000076F-augustus-gene-30.5	NA	000076F	7256282	7258742	hypothetical protein	NA
maker-000076F-augustus-gene-30.6	NA	000076F	7271656	7274425	hypothetical protein	NA
augustus_masked-000076F-processed-gene-30.42	NA	000076F	7280966	7283516	hypothetical protein	NA
maker-000076F-augustus-gene-30.8	NA	000076F	7292872	7310651	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-30.6	NA	000076F	7312436	7315449	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-30.7	NA	000076F	7329350	7332647	hypothetical protein	NA
maker-000076F-augustus-gene-30.11	NA	000076F	7343046	7346024	hypothetical protein	NA
augustus_masked-000076F-processed-gene-30.47	NA	000076F	7356247	7359128	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-30.8	NA	000076F	7368273	7371309	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-30.9	NA	000076F	7406312	7410184	hypothetical protein	NA
maker-000076F-augustus-gene-30.15	NA	000076F	7420787	7423454	hypothetical protein	NA
maker-000076F-augustus-gene-30.16	NA	000076F	7436476	7439041	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-30.10	NA	000076F	7445179	7446045	hypothetical protein	NA
maker-000076F-augustus-gene-30.18	NA	000076F	7457203	7458615	hypothetical protein	NA
maker-000076F-exonerate_protein2genome-gene-30.18	NA	000076F	7477602	7553523	hypothetical protein	NA
maker-000076F-augustus-gene-30.26	NA	000076F	7564395	7567795	hypothetical protein	NA
maker-000076F-augustus-gene-30.27	NA	000076F	7589967	7591133	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-30.11	NA	000076F	7604041	7606437	hypothetical protein	NA
maker-000076F-augustus-gene-30.29	NA	000076F	7621390	7625773	hypothetical protein	NA
maker-000076F-est_gff_StringTie-gene-30.12	NA	000076F	7640154	7642909	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-1.1	pde7b	000217F	42174	224512	cAMP-specific 3'%2C5'-cyclic phosphodiesterase 7B	Q9NP56
maker-000217F-exonerate_protein2genome-gene-1.0	nans	000217F	246414	283465	Sialic acid synthase	Q9NR45
maker-000217F-est_gff_StringTie-gene-1.3	prr5	000217F	293571	323963	Proline-rich protein 5	Q5FVG6,Q8AVJ1
maker-000217F-est_gff_StringTie-gene-2.0	inpp4a	000217F	372032	478491	Inositol polyphosphate-4-phosphatase type I A	Q9EPW0,Q96PE3
evm-000217F-processed-gene-2.1	nudt8_2	000217F	490241	517334	Nucleoside diphosphate-linked moiety X motif 8	Q9CR24
maker-000217F-augustus-gene-2.13	NA	000217F	563862	573451	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-3.0	ft_2	000217F	598593	854480	Cadherin-related tumor suppressor	P33450
maker-000217F-est_gff_StringTie-gene-2.1	NA	000217F	628817	633615	hypothetical protein	NA
evm-000217F-processed-gene-4.1	NA	000217F	894809	913790	hypothetical protein	NA
maker-000217F-augustus-gene-4.7	NA	000217F	915470	925410	hypothetical protein	NA
evm-000217F-processed-gene-4.0	cnbp	000217F	1028357	1051410	Cellular nucleic acid-binding protein	P62634
evm-000217F-processed-gene-5.1	ccnq	000217F	1116854	1178516	Cyclin-Q	Q8N1B3
maker-000217F-est_gff_StringTie-gene-5.0	atg13	000217F	1188753	1232195	Autophagy-related protein 13 homolog	Q9VHR6
maker-000217F-est_gff_StringTie-gene-5.2	nfxl1	000217F	1216100	1325891	NF-X1-type zinc finger protein NFXL1	A0JMY5
maker-000217F-est_gff_StringTie-gene-6.0	cel_myd88	000217F	1340400	1443301	Myeloid differentiation primary response protein MyD88,Bile salt-activated lipase,hypothetical protein,Bile salt-activated lipase (Fragment)	Q5XJ85,Q64285,P30122
maker-000217F-est_gff_StringTie-gene-6.1	dnajc4	000217F	1447267	1478060	DnaJ homolog subfamily C member 4	Q9D844
maker-000217F-exonerate_protein2genome-gene-7.2	gl_3	000217F	1652964	1656216	Protein glass	P13360,Q24732
maker-000217F-est_gff_StringTie-gene-7.1	ube2j1	000217F	1680946	1718990	Ubiquitin-conjugating enzyme E2 J1	Q9Y385
augustus_masked-000217F-processed-gene-7.5	sp5	000217F	1812493	1827658	Transcription factor Sp5	Q9JHX2
maker-000217F-est_gff_StringTie-gene-8.1	zk1073.1	000217F	1903721	2067807	Uncharacterized protein ZK1073.1	O02485
maker-000217F-est_gff_StringTie-gene-8.2	NA	000217F	1971101	1979590	hypothetical protein	NA
maker-000217F-augustus-gene-9.4	dym	000217F	2092523	2116044	Dymeclin	Q5ZLW3
maker-000217F-est_gff_StringTie-gene-9.3	NA	000217F	2099016	2119874	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-9.4	exc-4	000217F	2130009	2176742	Chloride intracellular channel exc-4	Q8WQA4
maker-000217F-est_gff_StringTie-gene-9.2	NA	000217F	2212993	2268866	hypothetical protein	NA
evm-000217F-processed-gene-9.8	zfs1	000217F	2242776	2261512	Zinc finger protein zfs1	P47979
maker-000217F-est_gff_StringTie-gene-9.6	NA	000217F	2267708	2268113	hypothetical protein	NA
evm-000217F-processed-gene-10.10	plaa	000217F	2304115	2351861	Phospholipase A-2-activating protein	P27612
maker-000217F-est_gff_StringTie-gene-10.3	NA	000217F	2362100	2479469	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-10.0	NA	000217F	2456319	2499794	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-10.4	NA	000217F	2530010	2549867	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-10.1	NA	000217F	2546511	2549705	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-11.0	NA	000217F	2558421	2569193	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-11.1	NA	000217F	2592976	2662713	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-12.1	stk10	000217F	2712367	2809685	Serine/threonine-protein kinase 10	F1NBT0
maker-000217F-est_gff_StringTie-gene-12.0	trdmt1	000217F	2826073	2877399	tRNA (cytosine(38)-C(5))-methyltransferase	Q4G073
maker-000217F-est_gff_StringTie-gene-12.2	pnlip_4	000217F	2879013	2918998	Pancreatic triacylglycerol lipase (Fragment)	Q64425
evm-000217F-processed-gene-14.26	NA	000217F	2958113	3035012	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-13.1	NA	000217F	3037593	3138542	hypothetical protein	NA
maker-000217F-augustus-gene-14.12	maob_3	000217F	3165111	3255182	Amine oxidase [flavin-containing] B	P56560
maker-000217F-est_gff_StringTie-gene-14.1	mao_3	000217F	3281066	3334879	Amine oxidase [flavin-containing]	P49253
maker-000217F-augustus-gene-14.14	maoa_4	000217F	3355013	3366027	Amine oxidase [flavin-containing] A	Q6Q2J0
maker-000217F-augustus-gene-14.15	maob_2	000217F	3367875	3373898	Amine oxidase [flavin-containing] B	P58028
maker-000217F-augustus-gene-14.16	maob_4	000217F	3376036	3384395	Amine oxidase [flavin-containing] B	Q6PLK3
maker-000217F-augustus-gene-14.20	NA	000217F	3386509	3421020	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-14.2	NA	000217F	3411637	3419503	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-14.3	NA	000217F	3426017	3489681	hypothetical protein	NA
maker-000217F-est_gff_StringTie-gene-14.5	rnf41_2	000217F	3498323	3539565	E3 ubiquitin-protein ligase NRDP1	Q8BH75
maker-000217F-exonerate_protein2genome-gene-14.8	kpna4	000217F	3582672	3641563	Importin subunit alpha-3	O35343
maker-000687F-augustus-gene-0.52	NA	000687F	6985	8670	hypothetical protein	NA
augustus_masked-000687F-processed-gene-0.11	NA	000687F	32007	32504	hypothetical protein	NA
maker-000687F-est_gff_StringTie-gene-0.0	NA	000687F	40042	41044	hypothetical protein	NA
maker-000687F-est_gff_StringTie-gene-0.1	NA	000687F	39982	133083	hypothetical protein	NA
maker-000533F-exonerate_protein2genome-gene-0.2	zfp62_znf274	000533F	3821	4187	hypothetical protein,Neurotrophin receptor-interacting factor homolog,Zinc finger protein 62 homolog	Q96GC6,Q8NB50
maker-000533F-est_gff_StringTie-gene-0.0	NA	000533F	33448	72429	hypothetical protein	NA
maker-000533F-est_gff_StringTie-gene-0.1	NA	000533F	115088	130655	hypothetical protein	NA
maker-000533F-augustus-gene-1.16	rragc	000533F	146420	163269	Ras-related GTP-binding protein C	Q9HB90
augustus_masked-000533F-processed-gene-1.1	pgbd4_12	000533F	164525	166488	PiggyBac transposable element-derived protein 4	Q96DM1
evm-000533F-processed-gene-1.19	rragd	000533F	168357	178755	Ras-related GTP-binding protein D	Q9NQL2
evm-000533F-processed-gene-1.21	ago3	000533F	179130	193234	Piwi-like protein Ago3	A9ZSZ2
maker-000533F-est_gff_StringTie-gene-1.5	NA	000533F	246364	265616	hypothetical protein	NA
maker-000533F-est_gff_StringTie-gene-1.2	NA	000533F	254048	268551	hypothetical protein	NA
maker-000533F-est_gff_StringTie-gene-1.3	NA	000533F	371567	381204	hypothetical protein	NA
maker-000533F-est_gff_StringTie-gene-2.4	octbeta1r	000533F	391868	415318	Octopamine receptor beta-1R	Q9VCZ3
maker-000533F-est_gff_StringTie-gene-2.2	NA	000533F	461356	582271	hypothetical protein	NA
maker-000533F-est_gff_StringTie-gene-2.5	rexo1	000533F	631423	693860	RNA exonuclease 1 homolog	Q7TT28
maker-000533F-est_gff_StringTie-gene-2.3	NA	000533F	706795	717537	hypothetical protein	NA
maker-000533F-exonerate_protein2genome-gene-2.0	eff_8	000533F	731481	731927	Ubiquitin-conjugating enzyme E2-17 kDa	P25867
maker-000563F-est_gff_StringTie-gene-0.0	nrf-6_7	000563F	70465	142140	hypothetical protein,Nose resistant to fluoxetine protein 6	Q09225
maker-000563F-est_gff_StringTie-gene-0.1	NA	000563F	146209	159707	hypothetical protein	NA
maker-000563F-est_gff_StringTie-gene-1.0	nrf-6_27	000563F	197535	352805	Nose resistant to fluoxetine protein 6	Q09225
maker-000563F-est_gff_StringTie-gene-1.4	NA	000563F	309471	311239	hypothetical protein	NA
maker-000563F-est_gff_StringTie-gene-1.5	NA	000563F	311291	331368	hypothetical protein	NA
maker-000563F-augustus-gene-1.16	far1_3	000563F	339992	346758	Fatty acyl-CoA reductase 1	Q5ZM72
maker-000563F-est_gff_StringTie-gene-1.6	orct_19	000563F	356702	483508	Organic cation transporter protein	Q9VCA2
maker-000563F-est_gff_StringTie-gene-1.1	NA	000563F	425917	430494	hypothetical protein	NA
maker-000563F-exonerate_protein2genome-gene-1.8	kpna6	000563F	488051	533031	Importin subunit alpha-7	O35345
maker-000563F-est_gff_StringTie-gene-1.2	NA	000563F	505567	505939	hypothetical protein	NA
maker-000563F-est_gff_StringTie-gene-1.3	ccdc58	000563F	531883	559436	Coiled-coil domain-containing protein 58	Q6PBK1
maker-000344F-augustus-gene-1.0	nlgn4x_8	000344F	180724	200343	Neuroligin-4%2C X-linked	Q8N0W4
maker-000344F-est_gff_StringTie-gene-4.0	nlgn4x_nlgn1	000344F	750678	986747	Neuroligin-4%2C X-linked,Neuroligin-1	Q8N0W4,Q62765
augustus_masked-000344F-processed-gene-6.1	spop_63	000344F	1427983	1429575	Speckle-type POZ protein	Q5NVK7
maker-000344F-est_gff_StringTie-gene-7.0	NA	000344F	1745071	1758681	hypothetical protein	NA
maker-000344F-augustus-gene-8.24	med21_3	000344F	1885693	1891009	Mediator of RNA polymerase II transcription subunit 21	Q16RX1
augustus_masked-000344F-processed-gene-8.2	actr1b	000344F	1891053	1892183	Beta-centractin	Q8R5C5
augustus_masked-000344F-processed-gene-8.4	yipf5	000344F	1904265	1905050	Protein YIPF5	Q6P5I8
maker-000344F-est_gff_StringTie-gene-8.6	skap2	000344F	1913798	1961847	Src kinase-associated phosphoprotein 2	Q920G0
maker-000344F-est_gff_StringTie-gene-8.1	NA	000344F	1928193	1955731	hypothetical protein	NA
maker-000344F-exonerate_protein2genome-gene-8.8	rragc_2	000344F	2060368	2077792	Ras-related GTP-binding protein C	Q99K70
evm-000344F-processed-gene-8.31	grn_7	000344F	2137426	2148885	Progranulin	P23785
augustus_masked-000344F-processed-gene-8.21	heatr1	000344F	2161337	2167606	HEAT repeat-containing protein 1	Q7SY48
maker-000344F-est_gff_StringTie-gene-8.5	lrig3_7	000344F	2228096	2240522	Leucine-rich repeats and immunoglobulin-like domains protein 3,hypothetical protein	Q6P1C6
maker-000109F-est_gff_StringTie-gene-0.2	NA	000109F	52370	75490	hypothetical protein	NA
augustus_masked-000109F-processed-gene-0.2	NA	000109F	84571	85083	hypothetical protein	NA
augustus_masked-000109F-processed-gene-0.3	NA	000109F	85318	85884	hypothetical protein	NA
augustus_masked-000109F-processed-gene-0.4	NA	000109F	85909	87549	hypothetical protein	NA
maker-000109F-exonerate_protein2genome-gene-0.0	NA	000109F	130412	159417	hypothetical protein	NA
maker-000109F-est_gff_StringTie-gene-1.0	NA	000109F	271424	323696	hypothetical protein	NA
maker-000109F-est_gff_StringTie-gene-2.0	NA	000109F	451649	539127	hypothetical protein	NA
evm-000109F-processed-gene-7.6	NA	000109F	1659374	1683279	hypothetical protein	NA
maker-000109F-augustus-gene-7.0	NA	000109F	1714018	1748460	hypothetical protein	NA
evm-000109F-processed-gene-8.8	NA	000109F	1777482	1851808	hypothetical protein	NA
evm-000109F-processed-gene-8.9	napb	000109F	1912561	1923808	Beta-soluble NSF attachment protein	P81126
maker-000109F-augustus-gene-8.4	t_5	000109F	1932419	1958714	Transposable element Hobo transposase	P12258
maker-000109F-augustus-gene-8.5	dkey-242e21.4	000109F	1993831	2010625	Protein C8orf37 homolog	P0DOC8
augustus_masked-000109F-processed-gene-9.3	NA	000109F	2052137	2094635	hypothetical protein	NA
evm-000109F-processed-gene-9.1	slc6a3_2	000109F	2153088	2233956	Sodium-dependent dopamine transporter	Q9GJT6
maker-000109F-augustus-gene-9.11	gdap1	000109F	2251222	2266981	Ganglioside-induced differentiation-associated protein 1	A6QQZ0
maker-000109F-est_gff_StringTie-gene-9.2	nfatc2ip	000109F	2266870	2315031	NFATC2-interacting protein,hypothetical protein	Q9GLZ9
maker-000109F-est_gff_StringTie-gene-10.1	rbm34	000109F	2417755	2445816	RNA-binding protein 34	Q8C5L7
maker-000109F-est_gff_StringTie-gene-10.0	atp5md_2	000109F	2445772	2452775	ATP synthase membrane subunit DAPIT%2C mitochondrial	Q78IK2
maker-000109F-exonerate_protein2genome-gene-11.1	mec-2	000109F	2463087	2593764	Mechanosensory protein 2	Q27433
maker-000109F-est_gff_StringTie-gene-11.0	iah1	000109F	2669296	2705167	Isoamyl acetate-hydrolyzing esterase 1 homolog	Q2TAA2,Q711G3
evm-000109F-processed-gene-11.17	NA	000109F	2745037	2791595	hypothetical protein	NA
maker-000109F-est_gff_StringTie-gene-12.0	acp7_2	000109F	2854868	2943596	Acid phosphatase type 7	A5D6U8
evm-000109F-processed-gene-12.1	mkks	000109F	2978564	2995111	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin	Q9NPJ1
maker-000109F-exonerate_protein2genome-gene-12.3	chrac1	000109F	2997584	2997877	Chromatin accessibility complex protein 1	Q9JKP8
evm-000109F-processed-gene-13.5	aplf	000109F	3033860	3127664	Aprataxin and PNK-like factor	Q8IW19
maker-000109F-est_gff_StringTie-gene-14.1	ylpm1	000109F	3153940	3291808	YLP motif-containing protein 1	P0CB49
maker-000109F-exonerate_protein2genome-gene-14.0	prmt1-a_prmt1	000109F	3316243	3353012	Protein arginine N-methyltransferase 1-A,Protein arginine N-methyltransferase 1	Q8AV13,Q99873
evm-000109F-processed-gene-14.2	tfcp2_2	000109F	3352952	3399832	Transcription factor CP2	Q6NZH6
maker-000109F-est_gff_StringTie-gene-14.3	NA	000109F	3363072	3363535	hypothetical protein	NA
maker-000109F-est_gff_StringTie-gene-14.5	tspan11_2	000109F	3422351	3446638	Tetraspanin-11	Q9D1D1
maker-000109F-est_gff_StringTie-gene-16.0	pros	000109F	3522179	3916979	Homeobox protein prospero	P29617
maker-000109F-est_gff_StringTie-gene-17.0	NA	000109F	4088605	4089498	hypothetical protein	NA
maker-000109F-est_gff_StringTie-gene-18.4	samd4a	000109F	4146306	4248689	Protein Smaug homolog 1	Q0IHW3
maker-000109F-est_gff_StringTie-gene-18.5	nipsnap	000109F	4264112	4313998	Protein NipSnap	Q9VXK0
maker-000109F-augustus-gene-18.4	rpl27a_2	000109F	4297852	4307154	60S ribosomal protein L27a	P47830
maker-000109F-est_gff_StringTie-gene-18.1	ago4_2	000109F	4314091	4323521	Protein argonaute-4	Q8CJF8
maker-000109F-est_gff_StringTie-gene-18.7	urh2	000109F	4328806	4357519	Probable uridine nucleosidase 2	Q652Q8
maker-000109F-est_gff_StringTie-gene-18.2	NA	000109F	4373958	4377976	hypothetical protein	NA
maker-000109F-exonerate_protein2genome-gene-18.9	lsm6	000109F	4395491	4410816	U6 snRNA-associated Sm-like protein LSm6	P62313
maker-000109F-est_gff_StringTie-gene-19.2	gria2	000109F	4413202	4526203	Glutamate receptor 2	P42262
