"","gene_id","geneName","lascID","scGeneName","Chr","Start","End"
"55","augustus_masked-000076F-processed-gene-21.2","LASC007533","LASC007533","LASC007533","000076F",5126123,5126674
"56","augustus_masked-000076F-processed-gene-21.3","LASC007534","LASC007534","LASC007534","000076F",5130899,5131363
"57","augustus_masked-000076F-processed-gene-21.7","LASC007535","LASC007535","LASC007535","000076F",5142040,5142465
"58","augustus_masked-000076F-processed-gene-21.8","LASC007536","LASC007536","LASC007536","000076F",5158076,5158540
"59","augustus_masked-000076F-processed-gene-21.9","LASC007537","LASC007537","LASC007537","000076F",5170247,5170732
"60","augustus_masked-000076F-processed-gene-21.4","LASC007538","LASC007538","LASC007538","000076F",5179119,5179583
"61","augustus_masked-000076F-processed-gene-22.5","LASC007539","LASC007539","LASC007539","000076F",5192720,5193214
"62","augustus_masked-000076F-processed-gene-22.3","LASC007540","LASC007540","LASC007540","000076F",5220240,5221217
"63","augustus_masked-000076F-processed-gene-22.4","LASC007541","LASC007541","LASC007541","000076F",5228362,5228856
"64","augustus_masked-000076F-processed-gene-22.6","LASC007542","LASC007542","LASC007542","000076F",5258663,5259184
"65","augustus_masked-000076F-processed-gene-22.12","LASC007543","LASC007543","LASC007543","000076F",5283482,5284063
"66","augustus_masked-000076F-processed-gene-22.8","LASC007544","LASC007544","LASC007544","000076F",5291237,5291830
"67","maker-000076F-est_gff_StringTie-gene-22.0","LASC007545","LASC007545","LASC007545","000076F",5302083,5313930
"68","augustus_masked-000076F-processed-gene-22.10","LASC007546","LASC007546","LASC007546","000076F",5324449,5325030
"69","augustus_masked-000076F-processed-gene-22.13","LASC007547","LASC007547","LASC007547","000076F",5340475,5340900
"70","augustus_masked-000076F-processed-gene-22.14","LASC007548","LASC007548","LASC007548","000076F",5346617,5347165
"71","maker-000076F-est_gff_StringTie-gene-24.0","trhr","LASC007549","trhr","000076F",5403419,5902876
"72","maker-000076F-est_gff_StringTie-gene-26.1","LASC007550","LASC007550","LASC007550","000076F",6166236,6167743
"73","maker-000076F-est_gff_StringTie-gene-26.0","LASC007551","LASC007551","LASC007551","000076F",6198525,6202868
"74","augustus_masked-000076F-processed-gene-28.5","chrac1_2","LASC007552","chrac1-2","000076F",6413714,6414004
"75","maker-000076F-est_gff_StringTie-gene-27.0","LASC007553","LASC007553","LASC007553","000076F",6429270,6616725
"76","maker-000076F-exonerate_protein2genome-gene-28.5","slc7a6_slc7a8_slc7a5p1","LASC007554","slc7a6-slc7a8-slc7a5p1","000076F",6478581,6621757
"77","evm-000076F-processed-gene-28.21","slc7a8","LASC007555","slc7a8","000076F",6624916,6650211
"78","maker-000076F-est_gff_StringTie-gene-28.2","LASC007556","LASC007556","LASC007556","000076F",6675083,6698854
"79","maker-000076F-exonerate_protein2genome-gene-28.6","mthfsd","LASC007557","mthfsd","000076F",6711259,6729418
"80","maker-000076F-est_gff_StringTie-gene-28.4","LASC007558","LASC007558","LASC007558","000076F",6772580,6800156
"81","maker-000076F-est_gff_StringTie-gene-29.1","cpa2_3","LASC007559","cpa2-3","000076F",6820608,6912221
"82","maker-000076F-exonerate_protein2genome-gene-29.4","dusp3","LASC007560","dusp3","000076F",6944927,6959179
"83","maker-000076F-est_gff_StringTie-gene-29.3","pigu","LASC007561","pigu","000076F",6961457,7028949
"84","maker-000076F-est_gff_StringTie-gene-29.0","hsf4","LASC007562","hsf4","000076F",7029173,7099608
"85","maker-000076F-est_gff_StringTie-gene-30.0","LASC007563","LASC007563","LASC007563","000076F",7115726,7120526
"86","maker-000076F-exonerate_protein2genome-gene-30.13","LASC007564","LASC007564","LASC007564","000076F",7167774,7172891
"87","augustus_masked-000076F-processed-gene-30.34","znf112_4","LASC007565","znf112-4","000076F",7188990,7192214
"88","maker-000076F-exonerate_protein2genome-gene-30.15","scsalpha1_os07g0577700","LASC007566","scsalpha1-os07g0577700","000076F",7195382,7223191
"89","maker-000076F-est_gff_StringTie-gene-30.3","LASC007567","LASC007567","LASC007567","000076F",7229647,7233608
"90","maker-000076F-augustus-gene-30.4","LASC007568","LASC007568","LASC007568","000076F",7241599,7244224
"91","maker-000076F-augustus-gene-30.5","LASC007569","LASC007569","LASC007569","000076F",7256282,7258742
"92","maker-000076F-augustus-gene-30.6","LASC007570","LASC007570","LASC007570","000076F",7271656,7274425
"93","augustus_masked-000076F-processed-gene-30.42","LASC007571","LASC007571","LASC007571","000076F",7280966,7283516
"94","maker-000076F-augustus-gene-30.8","LASC007572","LASC007572","LASC007572","000076F",7292872,7310651
"95","maker-000076F-est_gff_StringTie-gene-30.6","LASC007573","LASC007573","LASC007573","000076F",7312436,7315449
"96","maker-000076F-est_gff_StringTie-gene-30.7","LASC007574","LASC007574","LASC007574","000076F",7329350,7332647
"97","maker-000076F-augustus-gene-30.11","LASC007575","LASC007575","LASC007575","000076F",7343046,7346024
"98","augustus_masked-000076F-processed-gene-30.47","LASC007576","LASC007576","LASC007576","000076F",7356247,7359128
"99","maker-000076F-est_gff_StringTie-gene-30.8","LASC007577","LASC007577","LASC007577","000076F",7368273,7371309
"100","maker-000076F-est_gff_StringTie-gene-30.9","LASC007578","LASC007578","LASC007578","000076F",7406312,7410184
"101","maker-000076F-augustus-gene-30.15","LASC007579","LASC007579","LASC007579","000076F",7420787,7423454
"102","maker-000076F-augustus-gene-30.16","LASC007580","LASC007580","LASC007580","000076F",7436476,7439041
"103","maker-000076F-est_gff_StringTie-gene-30.10","LASC007581","LASC007581","LASC007581","000076F",7445179,7446045
"104","maker-000076F-augustus-gene-30.18","LASC007582","LASC007582","LASC007582","000076F",7457203,7458615
"105","maker-000076F-exonerate_protein2genome-gene-30.18","LASC007583","LASC007583","LASC007583","000076F",7477602,7553523
"106","maker-000076F-augustus-gene-30.26","LASC007584","LASC007584","LASC007584","000076F",7564395,7567795
"107","maker-000076F-augustus-gene-30.27","LASC007585","LASC007585","LASC007585","000076F",7589967,7591133
"108","maker-000076F-est_gff_StringTie-gene-30.11","LASC007586","LASC007586","LASC007586","000076F",7604041,7606437
"109","maker-000076F-augustus-gene-30.29","LASC007587","LASC007587","LASC007587","000076F",7621390,7625773
"110","maker-000076F-est_gff_StringTie-gene-30.12","LASC007588","LASC007588","LASC007588","000076F",7640154,7642909
"111","maker-000217F-est_gff_StringTie-gene-1.1","pde7b","LASC014761","pde7b","000217F",42174,224512
"112","maker-000217F-exonerate_protein2genome-gene-1.0","nans","LASC014762","nans","000217F",246414,283465
"113","maker-000217F-est_gff_StringTie-gene-1.3","prr5","LASC014763","prr5","000217F",293571,323963
"114","maker-000217F-est_gff_StringTie-gene-2.0","inpp4a","LASC014764","inpp4a","000217F",372032,478491
"115","evm-000217F-processed-gene-2.1","nudt8_2","LASC014765","nudt8-2","000217F",490241,517334
"116","maker-000217F-augustus-gene-2.13","LASC014766","LASC014766","LASC014766","000217F",563862,573451
"117","maker-000217F-est_gff_StringTie-gene-3.0","ft_2","LASC014767","ft-2","000217F",598593,854480
"118","maker-000217F-est_gff_StringTie-gene-2.1","LASC014768","LASC014768","LASC014768","000217F",628817,633615
"119","evm-000217F-processed-gene-4.1","LASC014769","LASC014769","LASC014769","000217F",894809,913790
"120","maker-000217F-augustus-gene-4.7","LASC014770","LASC014770","LASC014770","000217F",915470,925410
"121","evm-000217F-processed-gene-4.0","cnbp","LASC014771","cnbp","000217F",1028357,1051410
"122","evm-000217F-processed-gene-5.1","ccnq","LASC014772","ccnq","000217F",1116854,1178516
"123","maker-000217F-est_gff_StringTie-gene-5.0","atg13","LASC014773","atg13","000217F",1188753,1232195
"124","maker-000217F-est_gff_StringTie-gene-5.2","nfxl1","LASC014774","nfxl1","000217F",1216100,1325891
"125","maker-000217F-est_gff_StringTie-gene-6.0","cel_myd88","LASC014775","cel-myd88","000217F",1340400,1443301
"126","maker-000217F-est_gff_StringTie-gene-6.1","dnajc4","LASC014776","dnajc4","000217F",1447267,1478060
"127","maker-000217F-exonerate_protein2genome-gene-7.2","gl_3","LASC014777","gl-3","000217F",1652964,1656216
"128","maker-000217F-est_gff_StringTie-gene-7.1","ube2j1","LASC014778","ube2j1","000217F",1680946,1718990
"129","augustus_masked-000217F-processed-gene-7.5","sp5","LASC014779","sp5","000217F",1812493,1827658
"130","maker-000217F-est_gff_StringTie-gene-8.1","zk1073.1","LASC014780","zk1073.1","000217F",1903721,2067807
"131","maker-000217F-est_gff_StringTie-gene-8.2","LASC014781","LASC014781","LASC014781","000217F",1971101,1979590
"132","maker-000217F-augustus-gene-9.4","dym","LASC014782","dym","000217F",2092523,2116044
"133","maker-000217F-est_gff_StringTie-gene-9.3","LASC014783","LASC014783","LASC014783","000217F",2099016,2119874
"134","maker-000217F-est_gff_StringTie-gene-9.4","exc-4","LASC014784","exc-4","000217F",2130009,2176742
"135","maker-000217F-est_gff_StringTie-gene-9.2","LASC014785","LASC014785","LASC014785","000217F",2212993,2268866
"136","evm-000217F-processed-gene-9.8","zfs1","LASC014786","zfs1","000217F",2242776,2261512
"137","maker-000217F-est_gff_StringTie-gene-9.6","LASC014787","LASC014787","LASC014787","000217F",2267708,2268113
"138","evm-000217F-processed-gene-10.10","plaa","LASC014788","plaa","000217F",2304115,2351861
"139","maker-000217F-est_gff_StringTie-gene-10.3","LASC014789","LASC014789","LASC014789","000217F",2362100,2479469
"140","maker-000217F-est_gff_StringTie-gene-10.0","LASC014790","LASC014790","LASC014790","000217F",2456319,2499794
"141","maker-000217F-est_gff_StringTie-gene-10.4","LASC014791","LASC014791","LASC014791","000217F",2530010,2549867
"142","maker-000217F-est_gff_StringTie-gene-10.1","LASC014792","LASC014792","LASC014792","000217F",2546511,2549705
"143","maker-000217F-est_gff_StringTie-gene-11.0","LASC014793","LASC014793","LASC014793","000217F",2558421,2569193
"144","maker-000217F-est_gff_StringTie-gene-11.1","LASC014794","LASC014794","LASC014794","000217F",2592976,2662713
"145","maker-000217F-est_gff_StringTie-gene-12.1","stk10","LASC014795","stk10","000217F",2712367,2809685
"146","maker-000217F-est_gff_StringTie-gene-12.0","trdmt1","LASC014796","trdmt1","000217F",2826073,2877399
"147","maker-000217F-est_gff_StringTie-gene-12.2","pnlip_4","LASC014797","pnlip-4","000217F",2879013,2918998
"148","evm-000217F-processed-gene-14.26","LASC014798","LASC014798","LASC014798","000217F",2958113,3035012
"149","maker-000217F-est_gff_StringTie-gene-13.1","LASC014799","LASC014799","LASC014799","000217F",3037593,3138542
"150","maker-000217F-augustus-gene-14.12","maob_3","LASC014800","maob-3","000217F",3165111,3255182
"151","maker-000217F-est_gff_StringTie-gene-14.1","mao_3","LASC014801","mao-3","000217F",3281066,3334879
"152","maker-000217F-augustus-gene-14.14","maoa_4","LASC014802","maoa-4","000217F",3355013,3366027
"153","maker-000217F-augustus-gene-14.15","maob_2","LASC014803","maob-2","000217F",3367875,3373898
"154","maker-000217F-augustus-gene-14.16","maob_4","LASC014804","maob-4","000217F",3376036,3384395
"155","maker-000217F-augustus-gene-14.20","LASC014805","LASC014805","LASC014805","000217F",3386509,3421020
"156","maker-000217F-est_gff_StringTie-gene-14.2","LASC014806","LASC014806","LASC014806","000217F",3411637,3419503
"157","maker-000217F-est_gff_StringTie-gene-14.3","LASC014807","LASC014807","LASC014807","000217F",3426017,3489681
"158","maker-000217F-est_gff_StringTie-gene-14.5","rnf41_2","LASC014808","rnf41-2","000217F",3498323,3539565
"159","maker-000217F-exonerate_protein2genome-gene-14.8","kpna4","LASC014809","kpna4","000217F",3582672,3641563
"160","maker-000687F-augustus-gene-0.52","LASC022412","LASC022412","LASC022412","000687F",6985,8670
"161","augustus_masked-000687F-processed-gene-0.11","LASC022413","LASC022413","LASC022413","000687F",32007,32504
"162","maker-000687F-est_gff_StringTie-gene-0.0","LASC022415","LASC022415","LASC022415","000687F",40042,41044
"163","maker-000687F-est_gff_StringTie-gene-0.1","LASC022414","LASC022414","LASC022414","000687F",39982,133083
"164","maker-000533F-exonerate_protein2genome-gene-0.2","zfp62_znf274","LASC021631","zfp62-znf274","000533F",3821,4187
"165","maker-000533F-est_gff_StringTie-gene-0.0","LASC021632","LASC021632","LASC021632","000533F",33448,72429
"166","maker-000533F-est_gff_StringTie-gene-0.1","LASC021633","LASC021633","LASC021633","000533F",115088,130655
"167","maker-000533F-augustus-gene-1.16","rragc","LASC021634","rragc","000533F",146420,163269
"168","augustus_masked-000533F-processed-gene-1.1","pgbd4_12","LASC021635","pgbd4-12","000533F",164525,166488
"169","evm-000533F-processed-gene-1.19","rragd","LASC021636","rragd","000533F",168357,178755
"170","evm-000533F-processed-gene-1.21","ago3","LASC021637","ago3","000533F",179130,193234
"171","maker-000533F-est_gff_StringTie-gene-1.5","LASC021638","LASC021638","LASC021638","000533F",246364,265616
"172","maker-000533F-est_gff_StringTie-gene-1.2","LASC021639","LASC021639","LASC021639","000533F",254048,268551
"173","maker-000533F-est_gff_StringTie-gene-1.3","LASC021640","LASC021640","LASC021640","000533F",371567,381204
"174","maker-000533F-est_gff_StringTie-gene-2.4","octbeta1r","LASC021641","octbeta1r","000533F",391868,415318
"175","maker-000533F-est_gff_StringTie-gene-2.2","LASC021642","LASC021642","LASC021642","000533F",461356,582271
"176","maker-000533F-est_gff_StringTie-gene-2.5","rexo1","LASC021643","rexo1","000533F",631423,693860
"177","maker-000533F-est_gff_StringTie-gene-2.3","LASC021644","LASC021644","LASC021644","000533F",706795,717537
"178","maker-000533F-exonerate_protein2genome-gene-2.0","eff_8","LASC021645","eff-8","000533F",731481,731927
"179","maker-000563F-est_gff_StringTie-gene-0.0","nrf-6_7","LASC021904","nrf-6-7","000563F",70465,142140
"180","maker-000563F-est_gff_StringTie-gene-0.1","LASC021905","LASC021905","LASC021905","000563F",146209,159707
"181","maker-000563F-est_gff_StringTie-gene-1.0","nrf-6_27","LASC021906","nrf-6-27","000563F",197535,352805
"182","maker-000563F-est_gff_StringTie-gene-1.4","LASC021907","LASC021907","LASC021907","000563F",309471,311239
"183","maker-000563F-est_gff_StringTie-gene-1.5","LASC021908","LASC021908","LASC021908","000563F",311291,331368
"184","maker-000563F-augustus-gene-1.16","far1_3","LASC021909","far1-3","000563F",339992,346758
"185","maker-000563F-est_gff_StringTie-gene-1.6","orct_19","LASC021910","orct-19","000563F",356702,483508
"186","maker-000563F-est_gff_StringTie-gene-1.1","LASC021911","LASC021911","LASC021911","000563F",425917,430494
"187","maker-000563F-exonerate_protein2genome-gene-1.8","kpna6","LASC021912","kpna6","000563F",488051,533031
"188","maker-000563F-est_gff_StringTie-gene-1.2","LASC021913","LASC021913","LASC021913","000563F",505567,505939
"189","maker-000563F-est_gff_StringTie-gene-1.3","ccdc58","LASC021914","ccdc58","000563F",531883,559436
"190","maker-000344F-augustus-gene-1.0","nlgn4x_8","LASC018597","nlgn4x-8","000344F",180724,200343
"191","maker-000344F-est_gff_StringTie-gene-4.0","nlgn4x_nlgn1","LASC018598","nlgn4x-nlgn1","000344F",750678,986747
"192","augustus_masked-000344F-processed-gene-6.1","spop_63","LASC018599","spop-63","000344F",1427983,1429575
"193","maker-000344F-est_gff_StringTie-gene-7.0","LASC018600","LASC018600","LASC018600","000344F",1745071,1758681
"194","maker-000344F-augustus-gene-8.24","med21_3","LASC018601","med21-3","000344F",1885693,1891009
"195","augustus_masked-000344F-processed-gene-8.2","actr1b","LASC018602","actr1b","000344F",1891053,1892183
"196","augustus_masked-000344F-processed-gene-8.4","yipf5","LASC018603","yipf5","000344F",1904265,1905050
"197","maker-000344F-est_gff_StringTie-gene-8.6","skap2","LASC018604","skap2","000344F",1913798,1961847
"198","maker-000344F-est_gff_StringTie-gene-8.1","LASC018605","LASC018605","LASC018605","000344F",1928193,1955731
"199","maker-000344F-exonerate_protein2genome-gene-8.8","rragc_2","LASC018606","rragc-2","000344F",2060368,2077792
"200","evm-000344F-processed-gene-8.31","grn_7","LASC018607","grn-7","000344F",2137426,2148885
"201","augustus_masked-000344F-processed-gene-8.21","heatr1","LASC018608","heatr1","000344F",2161337,2167606
"202","maker-000344F-est_gff_StringTie-gene-8.5","lrig3_7","LASC018609","lrig3-7","000344F",2228096,2240522
"203","maker-000109F-est_gff_StringTie-gene-0.2","LASC009625","LASC009625","LASC009625","000109F",52370,75490
"204","augustus_masked-000109F-processed-gene-0.2","LASC009626","LASC009626","LASC009626","000109F",84571,85083
"205","augustus_masked-000109F-processed-gene-0.3","LASC009627","LASC009627","LASC009627","000109F",85318,85884
"206","augustus_masked-000109F-processed-gene-0.4","LASC009628","LASC009628","LASC009628","000109F",85909,87549
"207","maker-000109F-exonerate_protein2genome-gene-0.0","LASC009629","LASC009629","LASC009629","000109F",130412,159417
"208","maker-000109F-est_gff_StringTie-gene-1.0","LASC009630","LASC009630","LASC009630","000109F",271424,323696
"209","maker-000109F-est_gff_StringTie-gene-2.0","LASC009631","LASC009631","LASC009631","000109F",451649,539127
"210","evm-000109F-processed-gene-7.6","LASC009632","LASC009632","LASC009632","000109F",1659374,1683279
"211","maker-000109F-augustus-gene-7.0","LASC009633","LASC009633","LASC009633","000109F",1714018,1748460
"212","evm-000109F-processed-gene-8.8","LASC009634","LASC009634","LASC009634","000109F",1777482,1851808
"213","evm-000109F-processed-gene-8.9","napb","LASC009635","napb","000109F",1912561,1923808
"214","maker-000109F-augustus-gene-8.4","t_5","LASC009636","t-5","000109F",1932419,1958714
"215","maker-000109F-augustus-gene-8.5","dkey-242e21.4","LASC009637","dkey-242e21.4","000109F",1993831,2010625
"216","augustus_masked-000109F-processed-gene-9.3","LASC009638","LASC009638","LASC009638","000109F",2052137,2094635
"217","evm-000109F-processed-gene-9.1","slc6a3_2","LASC009639","slc6a3-2","000109F",2153088,2233956
"218","maker-000109F-augustus-gene-9.11","gdap1","LASC009640","gdap1","000109F",2251222,2266981
"219","maker-000109F-est_gff_StringTie-gene-9.2","nfatc2ip","LASC009641","nfatc2ip","000109F",2266870,2315031
"220","maker-000109F-est_gff_StringTie-gene-10.1","rbm34","LASC009642","rbm34","000109F",2417755,2445816
"221","maker-000109F-est_gff_StringTie-gene-10.0","atp5md_2","LASC009643","atp5md-2","000109F",2445772,2452775
"222","maker-000109F-exonerate_protein2genome-gene-11.1","mec-2","LASC009644","mec-2","000109F",2463087,2593764
"223","maker-000109F-est_gff_StringTie-gene-11.0","iah1","LASC009645","iah1","000109F",2669296,2705167
"224","evm-000109F-processed-gene-11.17","LASC009646","LASC009646","LASC009646","000109F",2745037,2791595
"225","maker-000109F-est_gff_StringTie-gene-12.0","acp7_2","LASC009647","acp7-2","000109F",2854868,2943596
"226","evm-000109F-processed-gene-12.1","mkks","LASC009648","mkks","000109F",2978564,2995111
"227","maker-000109F-exonerate_protein2genome-gene-12.3","chrac1","LASC009649","chrac1","000109F",2997584,2997877
"228","evm-000109F-processed-gene-13.5","aplf","LASC009650","aplf","000109F",3033860,3127664
"229","maker-000109F-est_gff_StringTie-gene-14.1","ylpm1","LASC009651","ylpm1","000109F",3153940,3291808
"230","maker-000109F-exonerate_protein2genome-gene-14.0","prmt1-a_prmt1","LASC009652","prmt1-a-prmt1","000109F",3316243,3353012
"231","evm-000109F-processed-gene-14.2","tfcp2_2","LASC009653","tfcp2-2","000109F",3352952,3399832
"232","maker-000109F-est_gff_StringTie-gene-14.3","LASC009654","LASC009654","LASC009654","000109F",3363072,3363535
"233","maker-000109F-est_gff_StringTie-gene-14.5","tspan11_2","LASC009655","tspan11-2","000109F",3422351,3446638
"234","maker-000109F-est_gff_StringTie-gene-16.0","pros","LASC009656","pros","000109F",3522179,3916979
"235","maker-000109F-est_gff_StringTie-gene-17.0","LASC009657","LASC009657","LASC009657","000109F",4088605,4089498
"236","maker-000109F-est_gff_StringTie-gene-18.4","samd4a","LASC009658","samd4a","000109F",4146306,4248689
"237","maker-000109F-est_gff_StringTie-gene-18.5","nipsnap","LASC009659","nipsnap","000109F",4264112,4313998
"238","maker-000109F-augustus-gene-18.4","rpl27a_2","LASC009660","rpl27a-2","000109F",4297852,4307154
"239","maker-000109F-est_gff_StringTie-gene-18.1","ago4_2","LASC009661","ago4-2","000109F",4314091,4323521
"240","maker-000109F-est_gff_StringTie-gene-18.7","urh2","LASC009662","urh2","000109F",4328806,4357519
"241","maker-000109F-est_gff_StringTie-gene-18.2","LASC009663","LASC009663","LASC009663","000109F",4373958,4377976
"242","maker-000109F-exonerate_protein2genome-gene-18.9","lsm6","LASC009664","lsm6","000109F",4395491,4410816
"243","maker-000109F-est_gff_StringTie-gene-19.2","gria2","LASC009665","gria2","000109F",4413202,4526203
"244","maker-000109F-est_gff_StringTie-gene-19.3","pfdn5_2","LASC009666","pfdn5-2","000109F",4535533,4549809
"245","evm-000109F-processed-gene-19.3","pcbp3_2","LASC009667","pcbp3-2","000109F",4559188,4636856
"246","maker-000109F-est_gff_StringTie-gene-19.1","pogz","LASC009668","pogz","000109F",4638536,4672670
"247","maker-000109F-est_gff_StringTie-gene-20.0","slc34a2","LASC009669","slc34a2","000109F",4763831,4836215
"248","maker-000109F-est_gff_StringTie-gene-20.1","myo5a","LASC009670","myo5a","000109F",4864604,4937881
"249","maker-000109F-est_gff_StringTie-gene-20.2","LASC009671","LASC009671","LASC009671","000109F",4950300,4950996
"250","maker-000109F-est_gff_StringTie-gene-21.5","LASC009672","LASC009672","LASC009672","000109F",4966272,4993699
"251","evm-000109F-processed-gene-21.3","slc35b1","LASC009673","slc35b1","000109F",5019731,5036020
"252","maker-000109F-est_gff_StringTie-gene-21.3","LASC009674","LASC009674","LASC009674","000109F",5051426,5061809
"253","maker-000109F-augustus-gene-21.8","LASC009675","LASC009675","LASC009675","000109F",5067105,5071855
"254","maker-000109F-est_gff_StringTie-gene-21.4","LASC009676","LASC009676","LASC009676","000109F",5076019,5076582
"255","evm-000109F-processed-gene-21.0","nudt21","LASC009677","nudt21","000109F",5095251,5112547
