p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,scGeneName,gene_id,geneName,Chr,Start,End,product,uniprot_id,lascID,geneName_GOI,Nephila_genome_Class,Group,sc_gene_id
7.705632648193437e-107,3.9747906258324033,0.28,0.108,2.311689794458031e-103,ZoneA_MaSp2,LASC016431,maker-000263F-est_gff_StringTie-gene-10.3,LASC016431,000263F,2390677,2520164,hypothetical protein,NA,LASC016431,NA,NA,Other,maker-000263F-est-gff-StringTie-gene-10.3
6.902714775154946e-106,0.7846790162572876,0.236,0.095,2.0708144325464838e-102,ZoneA_MaSp2,nup210,maker-000021F-est_gff_StringTie-gene-38.2,nup210,000021F,9142466,9249587,Nuclear pore membrane glycoprotein 210,P11654,LASC003070,NA,NA,Other,maker-000021F-est-gff-StringTie-gene-38.2
2.6871237160929824e-101,0.7734642761904944,0.604,0.436,8.061371148278947e-98,ZoneA_MaSp2,rps15a,maker-000271F-exonerate_protein2genome-gene-10.1,rps15a,000271F,2520039,2528495,40S ribosomal protein S15a,P62246,LASC016738,NA,NA,Other,maker-000271F-exonerate-protein2genome-gene-10.1
2.5426676913258903e-97,0.4405458992584831,0.623,0.439,7.62800307397767e-94,ZoneA_MaSp2,fau,maker-000318F-exonerate_protein2genome-gene-9.8,fau,000318F,2312837,2322074,Ubiquitin-like protein FUBI,P62868,LASC017930,NA,NA,Other,maker-000318F-exonerate-protein2genome-gene-9.8
3.189157989138721e-97,1.3425906389706883,0.405,0.233,9.567473967416164e-94,ZoneA_MaSp2,oat,maker-000420F-exonerate_protein2genome-gene-3.1,oat,000420F,665917,716711,Ornithine aminotransferase%2C mitochondrial,"Q3ZCF5,P04182,Q9VW26",LASC020154,NA,NA,Other,maker-000420F-exonerate-protein2genome-gene-3.1
1.0069746150775358e-94,0.5934952519089816,0.47,0.287,3.0209238452326074e-91,ZoneA_MaSp2,tmed6,maker-000417F-est_gff_StringTie-gene-3.2,tmed6,000417F,716386,744995,Transmembrane emp24 domain-containing protein 6,Q8WW62,LASC020075,NA,NA,Other,maker-000417F-est-gff-StringTie-gene-3.2
3.3206471266891484e-89,1.6920958392087933,0.313,0.166,9.961941380067445e-86,ZoneA_MaSp2,kiaa1324l,maker-000055F-est_gff_StringTie-gene-3.0,kiaa1324l,000055F,557492,686427,UPF0577 protein KIAA1324-like,A8MWY0,LASC006019,NA,NA,Other,maker-000055F-est-gff-StringTie-gene-3.0
9.612917111830235e-89,0.6086057383298911,0.576,0.404,2.8838751335490706e-85,ZoneA_MaSp2,rps8,maker-000236F-augustus-gene-7.0,rps8,000236F,1614189,1620312,40S ribosomal protein S8,Q8WQI5,LASC015455,NA,NA,Other,maker-000236F-augustus-gene-7.0
1.4106212980860354e-88,0.3274423621370284,0.578,0.395,4.2318638942581064e-85,ZoneA_MaSp2,ktn1,evm-000120F-processed-gene-2.4,ktn1,000120F,528434,566264,Kinectin,Q90631,LASC010286,NA,NA,Other,evm-000120F-processed-gene-2.4
6.433449660227705e-88,0.8998046079532731,0.363,0.204,1.9300348980683113e-84,ZoneA_MaSp2,ascc1,maker-000000F-est_gff_StringTie-gene-55.1,ascc1,000000F,13030095,13157308,Activating signal cointegrator 1 complex subunit 1,Q9D8Z1,LASC000099,NA,NA,Other,maker-000000F-est-gff-StringTie-gene-55.1
2.9610704811209822e-87,1.023421036168429,0.266,0.084,8.883211443362947e-84,ZoneA_MaSp2,LASC007183,maker-000070F-est_gff_StringTie-gene-1.4,LASC007183,000070F,311804,363796,hypothetical protein,NA,LASC007183,NA,NA,Other,maker-000070F-est-gff-StringTie-gene-1.4
5.2960411644425075e-87,0.8882161157646742,0.161,0.087,1.5888123493327523e-83,ZoneA_MaSp2,LASC001045,maker-000004F-est_gff_StringTie-gene-65.0,LASC001045,000004F,15618502,15622170,hypothetical protein,NA,LASC001045,NA,NA,Other,maker-000004F-est-gff-StringTie-gene-65.0
1.558005347133686e-86,4.528010147181373,0.278,0.131,4.674016041401058e-83,ZoneA_MaSp2,otoplc-6,maker-000061F-est_gff_StringTie-gene-19.1,otoplc_6,000061F,4436367,4496811,Proton channel OtopLc,B7Z0W9,LASC006536,NA,NA,Other,maker-000061F-est-gff-StringTie-gene-19.1
1.6267669507830308e-86,0.7152168072002094,0.556,0.408,4.880300852349092e-83,ZoneA_MaSp2,rps12,maker-000167F-augustus-gene-5.2,rps12,000167F,1254069,1322702,40S ribosomal protein S12,P84175,LASC012543,NA,NA,Other,maker-000167F-augustus-gene-5.2
5.835224956625411e-85,0.47237652525366647,0.335,0.218,1.7505674869876234e-81,ZoneA_MaSp2,cdo1,maker-000284F-est_gff_StringTie-gene-9.0,cdo1,000284F,2046095,2303549,Cysteine dioxygenase type 1,Q6NWZ9,LASC017063,NA,NA,Other,maker-000284F-est-gff-StringTie-gene-9.0
9.761692851841361e-84,0.5207656461451586,0.578,0.433,2.9285078555524084e-80,ZoneA_MaSp2,rps27a,maker-000494F-est_gff_StringTie-gene-3.5,rps27a,000494F,830416,840116,Ubiquitin-40S ribosomal protein S27a,P79781,LASC021196,NA,NA,Other,maker-000494F-est-gff-StringTie-gene-3.5
1.595501513071201e-83,2.806136403773582,0.285,0.122,4.786504539213603e-80,ZoneA_MaSp2,upp1,evm-000267F-processed-gene-2.0,upp1,000267F,390500,426366,"Uridine, phosphorylase, 1",Q16831,LASC016549,NA,NA,Other,evm-000267F-processed-gene-2.0
1.0401619440170609e-79,1.9430113266060172,0.274,0.138,3.120485832051183e-76,ZoneA_MaSp2,syt15-2,maker-000025F-est_gff_StringTie-gene-9.1,syt15_2,000025F,1691392,2100412,"hypothetical protein,Synaptotagmin-15",Q9BQS2,LASC003501,NA,NA,Other,maker-000025F-est-gff-StringTie-gene-9.1
3.2226381451597996e-78,1.3401215918632161,0.179,0.074,9.667914435479398e-75,ZoneA_MaSp2,dnm1l,augustus_masked-000242F-processed-gene-3.9,dnm1l,000242F,710257,712494,Dynamin-1-like protein,O00429,LASC015668,NA,NA,Other,augustus-masked-000242F-processed-gene-3.9
2.0585531660592142e-77,1.2201444396622594,0.516,0.354,6.175659498177643e-74,ZoneA_MaSp2,ncl,maker-000084F-est_gff_StringTie-gene-4.0,ncl,000084F,932022,950449,Nucleolin,P20397,LASC008176,NA,NA,Other,maker-000084F-est-gff-StringTie-gene-4.0
2.782761613541652e-76,1.6158698596618937,0.164,0.052,8.348284840624956e-73,ZoneA_MaSp2,sepp1b,maker-000017F-est_gff_StringTie-gene-30.0,sepp1b,000017F,7099121,7210013,Selenoprotein Pb,Q98SV0,LASC002710,NA,NA,Other,maker-000017F-est-gff-StringTie-gene-30.0
7.84334974927327e-74,3.6332709477663867,0.256,0.078,2.3530049247819808e-70,ZoneA_MaSp2,hexd-4,maker-000041F-est_gff_StringTie-gene-36.1,hexd_4,000041F,8390458,8714248,Hexosaminidase D,Q8WVB3,LASC004907,NA,NA,Other,maker-000041F-est-gff-StringTie-gene-36.1
2.5030863061604197e-73,1.2360598528898503,0.242,0.092,7.509258918481258e-70,ZoneA_MaSp2,rpp40,maker-000029F-est_gff_StringTie-gene-21.1,rpp40,000029F,4999158,5022182,"hypothetical protein,Ribonuclease P protein subunit p40",Q5BK64,LASC003914,NA,NA,Other,maker-000029F-est-gff-StringTie-gene-21.1
2.0160805657573907e-71,0.3482749682111742,0.573,0.418,6.048241697272172e-68,ZoneA_MaSp2,rpl29,maker-000123F-augustus-gene-21.5,rpl29,000123F,5005921,5010732,60S ribosomal protein L29,Q8HXB8,LASC010551,NA,NA,Other,maker-000123F-augustus-gene-21.5
8.664376501038363e-71,0.3943446077574446,0.251,0.115,2.599312950311509e-67,ZoneA_MaSp2,LASC006980,maker-000067F-est_gff_StringTie-gene-17.6,LASC006980,000067F,4042515,4107912,hypothetical protein,NA,LASC006980,NA,NA,Other,maker-000067F-est-gff-StringTie-gene-17.6
3.220451299380355e-70,1.5105934755219739,0.218,0.105,9.661353898141064e-67,ZoneA_MaSp2,spata5-2,maker-000216F-exonerate_protein2genome-gene-0.4,spata5_2,000216F,22036,52618,ATPase family protein 2 homolog,Q3UMC0,LASC014721,NA,NA,Other,maker-000216F-exonerate-protein2genome-gene-0.4
2.3716687730591586e-68,1.4474849310265938,0.235,0.102,7.115006319177476e-65,ZoneA_MaSp2,epb4.1l4,evm-000326F-processed-gene-3.19,epb4.1l4,000326F,580010,705629,Band 4.1-like protein 4,O57457,LASC018117,NA,NA,Other,evm-000326F-processed-gene-3.19
2.803727184532919e-68,7.172591704745761,0.289,0.13,8.411181553598757e-65,ZoneA_MaSp2,gpr83-3,evm-000053F-processed-gene-21.25,gpr83_3,000053F,5075578,5101397,Probable G-protein coupled receptor 83,P30731,LASC005889,NA,NA,Other,evm-000053F-processed-gene-21.25
6.176021404556853e-68,0.5023516786332387,0.564,0.412,1.852806421367056e-64,ZoneA_MaSp2,mrps16,maker-000114F-exonerate_protein2genome-gene-3.5,mrps16,000114F,824217,841172,Probable 28S ribosomal protein S16%2C mitochondrial,Q9V6Y3,LASC009907,NA,NA,Other,maker-000114F-exonerate-protein2genome-gene-3.5
3.001610616354267e-67,3.008126513753986,0.479,0.325,9.004831849062801e-64,ZoneA_MaSp2,x975-2,augustus_masked-000428F-processed-gene-4.33,x975_2,000428F,1162197,1164962,"Uncharacterized, protein, (Fragment)",A0A087UQ25,LASC020273,NA,NA,Other,augustus-masked-000428F-processed-gene-4.33
1.400867918984095e-66,0.5512224164968512,0.525,0.381,4.202603756952285e-63,ZoneA_MaSp2,rpl6-rpl-6,maker-000140F-exonerate_protein2genome-gene-7.0,rpl6_rpl-6,000140F,1816811,1831873,60S ribosomal protein L6,"P47991,Q6QMZ4",LASC011442,NA,NA,Other,maker-000140F-exonerate-protein2genome-gene-7.0
5.169170482062525e-66,1.0336704106839854,0.198,0.079,1.5507511446187575e-62,ZoneA_MaSp2,LASC005242,maker-000046F-est_gff_StringTie-gene-12.1,LASC005242,000046F,2864829,2877077,hypothetical protein,NA,LASC005242,NA,NA,Other,maker-000046F-est-gff-StringTie-gene-12.1
6.007349110050034e-66,2.811727322620289,0.274,0.119,1.8022047330150102e-62,ZoneA_MaSp2,ank3,augustus_masked-000192F-processed-gene-7.9,ank3,000192F,1724241,1730765,Ankyrin-3,G5E8K5,LASC013758,NA,NA,Other,augustus-masked-000192F-processed-gene-7.9
4.463148476709521e-65,2.7683098134479334,0.416,0.27,1.3389445430128564e-61,ZoneA_MaSp2,LASC016455,maker-000264F-est_gff_StringTie-gene-5.1,LASC016455,000264F,1056263,1144244,hypothetical protein,NA,LASC016455,NA,NA,Other,maker-000264F-est-gff-StringTie-gene-5.1
4.1135775027666164e-64,2.505955578886013,0.221,0.093,1.234073250829985e-60,ZoneA_MaSp2,vnn3,maker-000325F-est_gff_StringTie-gene-3.0,vnn3,000325F,698901,716160,Vascular non-inflammatory molecule 3,Q9QZ25,LASC018089,NA,NA,Other,maker-000325F-est-gff-StringTie-gene-3.0
3.231155948309882e-62,0.2778021172824321,0.254,0.108,9.693467844929647e-59,ZoneA_MaSp2,LASC009234,maker-000100F-augustus-gene-10.7,LASC009234,000100F,2297133,2325148,hypothetical protein,NA,LASC009234,NA,NA,Other,maker-000100F-augustus-gene-10.7
2.796506267974213e-60,3.3124193224370266,0.268,0.143,8.389518803922639e-57,ZoneA_MaSp2,elavl2,augustus_masked-000052F-processed-gene-10.3,elavl2,000052F,2455496,2456485,ELAV-like protein 2,Q28GD4,LASC005763,NA,NA,Other,augustus-masked-000052F-processed-gene-10.3
3.3484018825591745e-60,1.1921574851907542,0.576,0.428,1.0045205647677524e-56,ZoneA_MaSp2,rps29,maker-000056F-augustus-gene-12.2,rps29,000056F,2921848,2929953,40S ribosomal protein S29,Q4PM47,LASC006126,NA,NA,Other,maker-000056F-augustus-gene-12.2
7.588056356507566e-58,1.4739200417596052,0.337,0.235,2.27641690695227e-54,ZoneA_MaSp2,kctd15,evm-000117F-processed-gene-9.4,kctd15,000117F,2050191,2096907,BTB/POZ domain-containing protein kctd15,Q6DC02,LASC010114,NA,NA,Other,evm-000117F-processed-gene-9.4
2.136704656843156e-57,0.5931469200951369,0.18,0.11,6.410113970529468e-54,ZoneA_MaSp2,sdr39u1,maker-000524F-est_gff_StringTie-gene-2.1,sdr39u1,000524F,527427,546701,Epimerase family protein SDR39U1,Q9NRG7,LASC021552,NA,NA,Other,maker-000524F-est-gff-StringTie-gene-2.1
4.4729827514908287e-57,1.4621234161348529,0.236,0.075,1.3418948254472485e-53,ZoneA_MaSp2,pxt-6,maker-000016F-est_gff_StringTie-gene-49.0,pxt_6,000016F,11725369,11775580,Chorion peroxidase,Q9VEG6,LASC002646,NA,NA,Other,maker-000016F-est-gff-StringTie-gene-49.0
9.321022348595463e-57,2.2701128147761427,0.192,0.047,2.796306704578639e-53,ZoneA_MaSp2,pnliprp1-6,evm-000422F-processed-gene-2.18,pnliprp1_6,000422F,467240,509893,Inactive pancreatic lipase-related protein 1,P54315,LASC020189,NA,NA,Other,evm-000422F-processed-gene-2.18
6.260121235022144e-56,0.39888604440308595,0.558,0.43,1.8780363705066432e-52,ZoneA_MaSp2,LASC014844,maker-000219F-exonerate_protein2genome-gene-2.1,LASC014844,000219F,447517,470456,hypothetical protein,NA,LASC014844,NA,NA,Other,maker-000219F-exonerate-protein2genome-gene-2.1
1.541664643656902e-55,0.26871372662538073,0.318,0.21,4.624993930970706e-52,ZoneA_MaSp2,acat1-b,maker-000101F-augustus-gene-13.2,acat1-b,000101F,2988391,3140392,Acetyl-CoA acetyltransferase B%2C mitochondrial,Q6GN02,LASC009293,NA,NA,Other,maker-000101F-augustus-gene-13.2
2.1980131073962676e-55,3.340521423750264,0.337,0.147,6.594039322188803e-52,ZoneA_MaSp2,LASC011002,maker-000132F-est_gff_StringTie-gene-9.4,LASC011002,000132F,2269919,2286963,hypothetical protein,NA,LASC011002,NA,NA,Other,maker-000132F-est-gff-StringTie-gene-9.4
1.1622902088450692e-54,0.5371595105988263,0.208,0.1,3.4868706265352074e-51,ZoneA_MaSp2,slc25a26,maker-000053F-exonerate_protein2genome-gene-11.0,slc25a26,000053F,2742395,2768588,S-adenosylmethionine mitochondrial carrier protein,Q4V9P0,LASC005863,NA,NA,Other,maker-000053F-exonerate-protein2genome-gene-11.0
2.406975550018452e-54,0.5192458683963572,0.241,0.124,7.220926650055356e-51,ZoneA_MaSp2,LASC016452,augustus_masked-000264F-processed-gene-5.10,LASC016452,000264F,977945,978154,hypothetical protein,NA,LASC016452,NA,NA,Other,augustus-masked-000264F-processed-gene-5.10
6.367617004510855e-54,2.0608922866580937,0.273,0.133,1.9102851013532565e-50,ZoneA_MaSp2,fkbp15,maker-000588F-est_gff_StringTie-gene-0.10,fkbp15,000588F,331601,365386,"FK506-binding protein 15,hypothetical protein","Q5T1M5,Q6P9Q6",LASC022095,NA,NA,Other,maker-000588F-est-gff-StringTie-gene-0.10
1.264212626642788e-52,0.3099354963028773,0.205,0.12,3.792637879928364e-49,ZoneA_MaSp2,rnasez-elac2,maker-000123F-est_gff_StringTie-gene-10.6,rnasez_elac2,000123F,2390034,2424008,"Zinc phosphodiesterase ELAC protein 2,Ribonuclease Z%2C mitochondrial","Q8HY87,Q8MKW7,Q80Y81",LASC010516,NA,NA,Other,maker-000123F-est-gff-StringTie-gene-10.6
3.508390988254718e-52,0.6426825003222234,0.247,0.163,1.0525172964764154e-48,ZoneA_MaSp2,znfx1-3,maker-000188F-augustus-gene-2.2,znfx1_3,000188F,455341,473154,NFX1-type zinc finger-containing protein 1,Q8R151,LASC013521,NA,NA,Other,maker-000188F-augustus-gene-2.2
2.073221113435188e-51,3.0916431839030896,0.279,0.09,6.219663340305564e-48,ZoneA_MaSp2,isl1,evm-000288F-processed-gene-5.12,isl1,000288F,1092002,1260215,Insulin gene enhancer protein ISL-1,P50211,LASC017129,NA,NA,Other,evm-000288F-processed-gene-5.12
4.649382710560243e-51,0.43084269118125995,0.197,0.131,1.3948148131680728e-47,ZoneA_MaSp2,asic4,maker-000291F-est_gff_StringTie-gene-9.1,asic4,000291F,2025828,2127063,"hypothetical protein,Acid-sensing ion channel 4",Q9JHS6,LASC017228,NA,NA,Other,maker-000291F-est-gff-StringTie-gene-9.1
